Question,A,B,C,D,Correct Option,Subject,Topic,Category
Suppose Elijah decides to go as a ghost. Which result would be a cost?,Elijah will spend some time and money to get the costume.,Elijah will get to wear the costume he is more excited about.,,,A,Social science,Economics,Basic economic principles
Is teaching school a good or a service?,a service,a good,,,A,Social science,Economics,Economics
Suppose Mateo decides to plant the geraniums. Which result would be a cost?,He will save some space. The geraniums will use up less space than the magnolia tree would have used up.,Mateo will give up the chance to look at the magnolia tree. He thinks it would have looked more beautiful than the geraniums.,,,B,Social science,Economics,Basic economic principles
Suppose Eva decides to get the chocolate ice cream. Which result would be a cost?,Eva will give up the chance to get a free waffle cone. She would have enjoyed the waffle cone.,Eva will get to eat the chocolate ice cream. She likes this flavor more than mint chip.,,,A,Social science,Economics,Basic economic principles
Is a flute a good or a service?,a service,a good,,,B,Social science,Economics,Basic economic principles
Suppose Neil decides to watch the comedy. Which result would be a cost?,Neil will get to watch the movie that he is more excited about.,Neil will give up the chance to watch a movie with his sister.,,,B,Social science,Economics,Basic economic principles
Suppose Andrew decides to buy a copy of the book. Which result would be a cost?,Andrew will spend money to buy the book.,Andrew will get to keep the book as long as he wants.,,,A,Social science,Economics,Basic economic principles
Suppose Mabel decides to take a trip to South Dakota. Which result would be a cost?,Mabel will save some money. Plane tickets for Mabel to get to South Dakota are less expensive than tickets to Oklahoma.,Mabel will give up the chance to go to Oklahoma. She would have enjoyed a trip to Oklahoma more than South Dakota.,,,B,Social science,Economics,Basic economic principles
"The city of Wildgrove has been one of the world's biggest makers of cough drops for many years. But last month, Wildgrove's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go up.,The supply will probably go down.,,,B,Social science,Economics,Supply and demand
"Guitar makers use a special kind of wood to build their instruments. But the trees that produce that kind of wood are running out. Over time, what will probably happen to the overall supply of new guitars?",The supply will probably go up.,The supply will probably go down.,,,B,Social science,Economics,Supply and demand
Suppose Erik decides to plant the tulips. Which result would be a cost?,He will save some space. The tulips will use up less space than the birch tree would have used up.,Erik will give up the chance to look at the birch tree. He thinks it would have looked more beautiful than the tulips.,,,B,Social science,Economics,Basic economic principles
Suppose Troy decides to see the otters. Which result would be a cost?,"Troy will save some time. The otters are close by, but he would have had to walk to the the other side of the zoo to see the lemurs.",Troy will give up the chance to see the lemurs. He would have enjoyed seeing them more than the otters.,,,B,Social science,Economics,Basic economic principles
Is there a surplus or a shortage of tickets?,surplus,shortage,,,A,Social science,Economics,Supply and demand
Suppose Dalton decides to bake pumpkin muffins. Which result would be a cost?,Dalton will give up some muffins. He could have made more poppy seed muffins than pumpkin muffins.,Dalton will get to eat pumpkin muffins. He thinks pumpkin muffins are tastier than poppy seed muffins.,,,A,Social science,Economics,Basic economic principles
"Last year, there were seven men's clothing stores on Main Street in Castroville. This year, there are only three. What probably happened to the overall supply of men's shirts in Castroville?",The supply probably went up.,The supply probably went down.,,,B,Social science,Economics,Supply and demand
Select a reason you might choose to keep your money in a bank account.,You want to protect the money in a safe place.,You want to keep your money in a place where you can see it all the time.,,,A,Social science,Economics,Banking and finance
Suppose Scarlett decides to borrow the book from the library. Which result would be a cost?,Scarlett will give up the chance to keep the book as long as she wants.,Scarlett will save some money by not buying the book.,,,A,Social science,Economics,Basic economic principles
Is babysitting a good or a service?,a good,a service,,,B,Social science,Economics,Economics
Suppose Mason decides to bake blueberry muffins. Which result would be a cost?,Mason will get to eat blueberry muffins. He thinks blueberry muffins are tastier than cranberry muffins.,Mason will give up some muffins. He could have made more cranberry muffins than blueberry muffins.,,,B,Social science,Economics,Basic economic principles
"The city of Silvergrove has been one of the world's biggest makers of cough drops for many years. But last month, Silvergrove's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go down.,The supply will probably go up.,,,A,Social science,Economics,Supply and demand
"The city of Belmont has been one of the world's biggest makers of cough drops for many years. But last month, Belmont's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go down.,The supply will probably go up.,,,A,Social science,Economics,Supply and demand
Is there a surplus or a shortage of leather jackets?,surplus,shortage,,,A,Social science,Economics,Supply and demand
Suppose Ivan decides to join the Photography Club. Which result would be a cost?,Ivan will give up the chance to be in the Theater Club. He would have had more fun in the Theater Club than in the Photography Club.,Ivan will save some time. He would have spent more time in the Theater Club than in the Photography Club.,,,A,Social science,Economics,Basic economic principles
"Last year, there were seven men's clothing stores on Main Street in Burlington. This year, there are only three. What probably happened to the overall supply of men's shirts in Burlington?",The supply probably went up.,The supply probably went down.,,,B,Social science,Economics,Supply and demand
Suppose Isabelle decides to see the storks. Which result would be a cost?,Isabelle will enjoy seeing the storks more than she would have enjoyed seeing the cranes.,"Isabelle will spend more time walking to the storks. They are on the other side of the zoo, but the cranes are close by.",,,B,Social science,Economics,Basic economic principles
Suppose Audrey decides to go on the screaming swing. Which result would be a cost?,Audrey will save some ride tickets. She needs fewer tickets to go on the screaming swing than on the log ride.,Audrey will give up the chance to go on the log ride. She would have had more fun on that ride.,,,B,Social science,Economics,Basic economic principles
Suppose Hazel decides to watch the action movie. Which result would be a cost?,Hazel will give up the chance to watch the movie that she is more excited about.,Hazel will get to watch a movie with her sister.,,,A,Social science,Economics,Basic economic principles
Is grooming a dog a good or a service?,a service,a good,,,A,Social science,Economics,Economics
Suppose Pablo decides to watch the comedy. Which result would be a cost?,Pablo will get to watch the movie that he is more excited about.,Pablo will give up the chance to watch a movie with his sister.,,,B,Social science,Economics,Basic economic principles
Is a ball a good or a service?,a good,a service,,,A,Social science,Economics,Economics
Suppose Hayley decides to see the lions. Which result would be a cost?,Hayley will enjoy seeing the lions more than she would have enjoyed seeing the gorillas.,"Hayley will spend more time walking to the lions. They are on the other side of the zoo, but the gorillas are close by.",,,B,Social science,Economics,Basic economic principles
Suppose Dominic decides to join the Photography Club. Which result would be a cost?,Dominic will give up the chance to be in the Theater Club. He would have had more fun in the Theater Club than in the Photography Club.,Dominic will save some time. He would have spent more time in the Theater Club than in the Photography Club.,,,A,Social science,Economics,Basic economic principles
Suppose Pablo decides to plant the birch tree. Which result would be a cost?,Pablo will get to look at the birch tree. He thinks it will look more beautiful than the hydrangeas would have looked.,The birch tree will use up more space than the hydrangeas would have used up.,,,B,Social science,Economics,Basic economic principles
Suppose Nellie decides to take a trip to Tennessee. Which result would be a cost?,Nellie will give up the chance to go to Maryland. She would have enjoyed a trip to Maryland more than Tennessee.,Nellie will save some money. Plane tickets for Nellie to get to Tennessee are less expensive than tickets to Maryland.,,,A,Social science,Economics,Basic economic principles
Suppose Duncan decides to join the Photography Club. Which result would be a cost?,Duncan will save some time. He would have spent more time in the Theater Club than in the Photography Club.,Duncan will give up the chance to be in the Theater Club. He would have had more fun in the Theater Club than in the Photography Club.,,,B,Social science,Economics,Basic economic principles
Is mowing grass a good or a service?,a service,a good,,,A,Social science,Economics,Economics
"Last year, there were seven men's clothing stores on Main Street in Oakland. This year, there are only three. What probably happened to the overall supply of men's shirts in Oakland?",The supply probably went up.,The supply probably went down.,,,B,Social science,Economics,Supply and demand
Suppose Will decides to join the Photography Club. Which result would be a cost?,Will will have more fun in the Photography Club than he would have had in the Theater Club.,Will will spend more time in the Photography Club than he would have spent in the Theater Club.,,,B,Social science,Economics,Basic economic principles
Is a toaster a good or a service?,a service,a good,,,B,Social science,Economics,Basic economic principles
Is driving a taxi a good or a service?,a good,a service,,,B,Social science,Economics,Economics
A drought has made this year's tomato harvest smaller than usual. What will probably happen to the overall supply of tomato sauce?,The supply will probably go up.,The supply will probably go down.,,,B,Social science,Economics,Supply and demand
Suppose Luna decides to get the cherries jubilee ice cream. Which result would be a cost?,Luna will give up the chance to get a free waffle cone. She would have enjoyed the waffle cone.,Luna will get to eat the cherries jubilee ice cream. She likes this flavor more than vanilla bean.,,,A,Social science,Economics,Basic economic principles
Suppose Zane decides to watch the action movie. Which result would be a cost?,Zane will get to watch a movie with his sister.,Zane will give up the chance to watch the movie that he is more excited about.,,,B,Social science,Economics,Basic economic principles
"The city of Kingwood has been one of the world's biggest makers of cough drops for many years. But last month, Kingwood's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go up.,The supply will probably go down.,,,B,Social science,Economics,Supply and demand
Is there a surplus or a shortage of washing machines?,shortage,surplus,,,A,Social science,Economics,Supply and demand
Suppose Ruben decides to get the peach ice cream. Which result would be a cost?,Ruben will get to eat the peach ice cream. He likes this flavor more than strawberry cheesecake.,Ruben will give up the chance to get a free waffle cone. He would have enjoyed the waffle cone.,,,B,Social science,Economics,Basic economic principles
Suppose Vijay decides to make vegetable soup. Which result would be a cost?,Vijay will spend more time making the vegetable soup than he would have spent making the egg drop soup.,The vegetable soup will be tastier than the egg drop soup would have been.,,,A,Social science,Economics,Basic economic principles
Suppose Harper decides to borrow the book from the library. Which result would be a cost?,Harper will give up the chance to keep the book as long as she wants.,Harper will save some money by not buying the book.,,,A,Social science,Economics,Basic economic principles
Is there a surplus or a shortage of cupcakes?,surplus,shortage,,,B,Social science,Economics,Supply and demand
Is a desk a good or a service?,a good,a service,,,A,Social science,Economics,Economics
"Last year, there were seven men's clothing stores on Main Street in Fairfax. This year, there are only three. What probably happened to the overall supply of men's shirts in Fairfax?",The supply probably went down.,The supply probably went up.,,,A,Social science,Economics,Supply and demand
Suppose Helen decides to bake cranberry muffins. Which result would be a cost?,Helen will get to eat more muffins. She can make more cranberry muffins than chocolate muffins.,Helen will give up the chance to eat chocolate muffins. She thinks chocolate muffins are tastier than cranberry muffins.,,,B,Social science,Economics,Basic economic principles
Next winter is expected to be colder and snowier than usual. Producers expect the demand for ski boots to be high. What will probably happen to the overall supply of ski boots?,The supply will probably go up.,The supply will probably go down.,,,A,Social science,Economics,Supply and demand
Is a shirt a good or a service?,a good,a service,,,A,Social science,Economics,Basic economic principles
"Last year, there were seven men's clothing stores on Main Street in Winchester. This year, there are only three. What probably happened to the overall supply of men's shirts in Winchester?",The supply probably went down.,The supply probably went up.,,,A,Social science,Economics,Supply and demand
Suppose Liz decides to go as a ghost. Which result would be a cost?,Liz will spend some time and money to get the costume.,Liz will get to wear the costume she is more excited about.,,,A,Social science,Economics,Basic economic principles
Is a cupcake a good or a service?,a good,a service,,,A,Social science,Economics,Economics
Is teaching art a good or a service?,a good,a service,,,B,Social science,Economics,Basic economic principles
Suppose Lamar decides to eat the vanilla custard. Which result would be a cost?,Lamar will give up the chance to eat the peanuts. The peanuts would have been healthier than the vanilla custard.,Lamar will get to eat the vanilla custard. Lamar thinks vanilla custard will taste better than peanuts would have.,,,A,Social science,Economics,Basic economic principles
"Last year, there were seven men's clothing stores on Main Street in Stafford. This year, there are only three. What probably happened to the overall supply of men's shirts in Stafford?",The supply probably went down.,The supply probably went up.,,,A,Social science,Economics,Supply and demand
Suppose Natalie decides to make potato soup. Which result would be a cost?,Natalie will save some time. The beef barley soup would have taken longer to make than the potato soup.,"Natalie will give up the chance to eat the beef barley soup, which would have been tastier than the potato soup.",,,B,Social science,Economics,Basic economic principles
Suppose Rose decides to join the Theater Club. Which result would be a cost?,Rose will give up the chance to be in the Photography Club. She would have had more fun in the Photography Club than in the Theater Club.,Rose will save some time. She would have spent more time in the Photography Club than in the Theater Club.,,,A,Social science,Economics,Basic economic principles
Suppose Jennifer decides to make cream of mushroom soup. Which result would be a cost?,The cream of mushroom soup will be tastier than the onion soup would have been.,Jennifer will spend more time making the cream of mushroom soup than she would have spent making the onion soup.,,,B,Social science,Economics,Basic economic principles
"The city of Richmond has been one of the world's biggest makers of cough drops for many years. But last month, Richmond's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go down.,The supply will probably go up.,,,A,Social science,Economics,Supply and demand
"Last year, there were seven men's clothing stores on Main Street in Lakeside. This year, there are only three. What probably happened to the overall supply of men's shirts in Lakeside?",The supply probably went up.,The supply probably went down.,,,B,Social science,Economics,Supply and demand
Suppose Dustin decides to eat the grapes. Which result would be a cost?,Dustin will give up the chance to eat the oatmeal cookies. Dustin thinks oatmeal cookies would have tasted better than grapes will.,Dustin will get to eat the grapes. The grapes will be healthier than the oatmeal cookies would have been.,,,A,Social science,Economics,Basic economic principles
Suppose Kimberly decides to go on the log ride. Which result would be a cost?,Kimberly will spend more ride tickets on the log ride than she would have spent on the balloon race.,Kimberly will have more fun on the log ride than she would have had on the balloon race.,,,A,Social science,Economics,Basic economic principles
Suppose Billy decides to plant the gardenias. Which result would be a cost?,Billy will give up the chance to look at the fir tree. He thinks it would have looked more beautiful than the gardenias.,He will save some space. The gardenias will use up less space than the fir tree would have used up.,,,A,Social science,Economics,Basic economic principles
Suppose Alice decides to make chicken soup. Which result would be a cost?,Alice will spend more time making the chicken soup than she would have spent making the lentil soup.,The chicken soup will be tastier than the lentil soup would have been.,,,A,Social science,Economics,Basic economic principles
Is washing cars a good or a service?,a good,a service,,,B,Social science,Economics,Economics
"The city of Fairview has been one of the world's biggest makers of cough drops for many years. But last month, Fairview's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go up.,The supply will probably go down.,,,B,Social science,Economics,Supply and demand
Is there a surplus or a shortage of picture frames?,surplus,shortage,,,A,Social science,Economics,Supply and demand
Suppose Josiah decides to see the crocodiles. Which result would be a cost?,"Josiah will save some time. The crocodiles are close by, but he would have had to walk to the the other side of the zoo to see the emus.",Josiah will give up the chance to see the emus. He would have enjoyed seeing them more than the crocodiles.,,,B,Social science,Economics,Basic economic principles
Suppose Brittany decides to plant the maple tree. Which result would be a cost?,Brittany will get to look at the maple tree. She thinks it will look more beautiful than the poppies would have looked.,The maple tree will use up more space than the poppies would have used up.,,,B,Social science,Economics,Basic economic principles
"Which figure of speech is used in this text?
Vincent and Tessa have trouble working on projects together. Although Tessa is very sociable and friendly, she's not exactly a team player.",euphemism,paradox,,,A,Language science,Figurative-language,Literary devices
"What does the allusion in this text suggest?
With the gutters clogged and water rising in the streets, Lacey, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here.""",Lacey wants to protect her possessions.,Lacey thinks the storm will cause major flooding.,,,B,Language science,Figurative-language,Literary devices
"What does the metaphor in this text suggest?
When Quincy lost his job, he was devastated. The only light in the sea of darkness was the prospect of pursuing a new career.",Having to pursue a new career was the worst part of Quincy's job loss.,There was a benefit to Quincy's job loss.,,,B,Language science,Figurative-language,Literary devices
"What does the verbal irony in this text suggest?
""Someone had better turn on the heat,"" Sasha said, sweat glistening on her face.",The temperature was too cool.,The temperature was too warm.,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
""This mattress is as soft as concrete,"" Bob complained as he tested the bed in his hotel room.",personification,verbal irony,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Christina's Bistro used to be a great place to go for a delicious and carefully prepared dinner, but nobody goes there anymore: it's too crowded.",paradox,euphemism,,,A,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Mason was enjoying the lush life his newfound riches had brought him, but he couldn't help but think of his latest cholesterol reading as a Sword of Damocles.",Shakespeare,ancient legend,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
The hum of the computer concerned Oscar. Was the problem with the power supply or the hard drive?",onomatopoeia,metaphor,,,A,Language science,Figurative-language,Literary devices
"What does the idiom in this text suggest?
Erica has a lot on her plate: she is attending college, has a full-time job as a waitress, and volunteers at the animal shelter.",Erica has many responsibilities.,Erica has worked up an appetite.,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Joseph is a real Benedict Arnold. After promising to work on my campaign for class president, he decided to support my opponent.",simile,allusion,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
It is easier to forgive an enemy than to forgive a friend.
—William Blake",apostrophe,paradox,,,B,Language science,Figurative-language,Literary devices
"What does the verbal irony in this text suggest?
""Sleeping through the rooster's crowing was no problem,"" Jim joked with a yawn.",Jim slept well.,Jim slept poorly.,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Kayla, I've told you a million times: you need to dry the dishes before you put them away.",hyperbole,oxymoron,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
""Your new hairstyle is so boring!"" Eric remarked when his sister showed up with a pink-and-blue mohawk.",verbal irony,simile,,,A,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Alana thinks Mr. Cline is a Luddite because he doesn't own a cell phone.",the Bible,British history,,,B,Language science,Figurative-language,Literary devices
"What does the verbal irony in this text suggest?
""That fits you well,"" Jim remarked after Vicky's cap fell over her eyes for the tenth time.",The cap looked nice on Vicky.,The cap was too big.,,,B,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Bryce dropped out of college to travel the world, but a year later, the prodigal son returned home and re-enrolled.",the Bible,Greek mythology,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
The Norwood Grill offers a delicious vegetarian sausage entr̩e served with mashed sweet potatoes and arugula salad.",oxymoron,hyperbole,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Dr. Shepherd is unhappy with her new assistant because simple tasks, like fetching coffee, take him years to finish.",hyperbole,oxymoron,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
""Your new hairstyle is so boring!"" Diego remarked when his sister showed up with a pink-and-blue mohawk.",verbal irony,pun,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Dr. Todd is unhappy with her new assistant because simple tasks, like fetching coffee, take him years to finish.",oxymoron,hyperbole,,,B,Language science,Figurative-language,Literary devices
"What does the verbal irony in this text suggest?
""That fits you well,"" Brendan remarked after Eliana's cap fell over her eyes for the tenth time.",The cap was too big.,The cap looked nice on Eliana.,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
After Cara cooked and served a scrumptious dinner, Dad boasted that she is the Julia Child of our family.",allusion,simile,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Go back to Mississippi, go back to Alabama, go back to South Carolina, go back to Georgia, go back to Louisiana, go back to the slums and ghettos of our northern cities, knowing that somehow this situation can and will be changed.
—Martin Luther King, Jr., ""I Have a Dream"" speech",anaphora,apostrophe,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Miguel returned to the parking lot to find his car somewhat destroyed. Apparently someone had crashed into it while he was working and had broken the entire front windshield.",oxymoron,hyperbole,,,A,Language science,Figurative-language,Literary devices
"What does the metaphor in this text suggest?
When Tucker lost his job, he was devastated. The only light in the sea of darkness was the prospect of pursuing a new career.",There was a benefit to Tucker's job loss.,Having to pursue a new career was the worst part of Tucker's job loss.,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
I got hit in the head by a can of soda. Luckily it was a soft drink.",pun,onomatopoeia,,,A,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Tyrone's remark about your new car is clearly a case of sour grapes.",Greek mythology,a fable,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
The Livingston family is going to spend two weeks in Ocean City, but for Ethan it will be a working vacation, since he'll be checking in with the office every day.",hyperbole,oxymoron,,,B,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
As we hiked through the snow-covered woods, we remembered the weather forecaster's predictions, which seemed in retrospect rather Panglossian.",the Bible,literature,,,B,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Kenji described the situation he was facing with his boss as a catch-22.",a song,literature,,,B,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Andrew described the situation he was facing with his boss as a catch-22.",a song,literature,,,B,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Investors should have seen the writing on the wall.",a fairy tale,the Bible,,,B,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
When I learned the details of Pamela's Faustian bargain, I was in disbelief.",literature,history,,,A,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Abby thinks Mr. Larson is a Luddite because he doesn't own a cell phone.",Roman history,British history,,,B,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Owen picked up his pace on the trail as his spidey sense began to tingle.",a comic book,Italian history,,,A,Language science,Figurative-language,Literary devices
"What does the verbal irony in this text suggest?
""This is the best day of my life,"" Mr. Garrison mumbled after his car broke down on the way to an important job interview.",Mr. Garrison liked fixing cars.,Mr. Garrison was having a bad day.,,,B,Language science,Figurative-language,Literary devices
"What does the verbal irony in this text suggest?
""That fits you well,"" Percy remarked after Jill's cap fell over her eyes for the tenth time.",The cap was a good fit.,The cap was too big.,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
""There's nothing I love more than skipping lunch,"" Mr. Atkinson told the flight attendant when he learned that no food would be available on his cross-country flight.",verbal irony,personification,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Where the panther walks to and fro on a limb overhead, where the buck turns furiously at the hunter,
Where the rattlesnake suns his flabby length on a rock, where the otter is feeding on fish . . .
—Walt Whitman, ""Song of Myself""",antithesis,anaphora,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
When Shivani first joined the track team, she was afraid of jumping, but she got over that hurdle.",pun,verbal irony,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
For the time being, certainly, it had been found necessary to make a readjustment of rations (Squealer always spoke of it as a ""readjustment,"" never as a ""reduction"") . . .
—George Orwell, Animal Farm",euphemism,antithesis,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Josiah remarked that the new book on anti-gravity was impossible to put down.",pun,alliteration,,,A,Language science,Figurative-language,Literary devices
"What does the simile in this text suggest?
When Lee Mellon finished the apple he smacked his lips together like a pair of cymbals.
—Richard Brautigan, A Confederate General from Big Sur",Lee Mellon made a loud noise with his lips.,Lee Mellon was a musician.,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
It was August 30, 2005. Hurricane Katrina had come and gone, the levees had been breached, and it was a bit wet in New Orleans.",assonance,understatement,,,B,Language science,Figurative-language,Literary devices
"What does the metaphor in this text suggest?
When Devin lost his job, he was devastated. The only light in the sea of darkness was the prospect of pursuing a new career.",There was a benefit to Devin's job loss.,Having to pursue a new career was the worst part of Devin's job loss.,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
The hum of the computer concerned Jacob. Was the problem with the power supply or the hard drive?",onomatopoeia,simile,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
After spending weeks in New York City, Florence was a bit unnerved by the deafening silence of her small hometown.",oxymoron,euphemism,,,A,Language science,Figurative-language,Literary devices
"Does the sentence use a simile or a metaphor?
Jasper swam with ease across the swimming pool, like a dolphin.",simile,metaphor,,,A,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Leo picked up his pace on the trail as his spidey sense began to tingle.",a comic book,a song,,,A,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
""Kathleen is such a Pollyanna!"" Aaron announced with a sigh.",literature,a fable,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Zoe's Boutique claims to have ""something for everyone,"" but it is generally understood that their target market is women of a certain age.",euphemism,paradox,,,A,Language science,Figurative-language,Literary devices
"What does the metaphor in this text suggest?
When Trevor lost his job, he was devastated. The only light in the sea of darkness was the prospect of pursuing a new career.",Trevor felt in the dark about what to do after losing his job.,There was a benefit to Trevor's job loss.,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
It's only forty miles to the ranch as the crow flies, but on the winding local roads, it takes about two hours.",onomatopoeia,idiom,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Is this a dagger which I see before me,
The handle toward my hand? Come, let me clutch thee. . .
—William Shakespeare, Macbeth",antithesis,apostrophe,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
""There's nothing I love more than skipping lunch,"" Mr. Scott told the flight attendant when he learned that no food would be available on his cross-country flight.",allusion,verbal irony,,,B,Language science,Figurative-language,Literary devices
"What does the idiom in this text suggest?
In such an unfamiliar environment, Oliver was a fish out of water.",Oliver didn't have any friends.,Oliver felt out of place.,,,B,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Caleb described the situation he was facing with his boss as a catch-22.",literature,a poem,,,A,Language science,Figurative-language,Literary devices
"What does the personification in this text suggest?
Alvin tried to ignore his unfinished essay, but it glared at him from across the room.",Alvin thought he was being watched.,It bothered Alvin that the essay wasn't finished.,,,B,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Denise told her friends that Cole was a typical Peter Pan type.",literature,a song,,,A,Language science,Figurative-language,Literary devices
