Question,A,B,C,D
Which text uses the word nauseous in its traditional sense?,"Brooke couldn't tolerate the nauseous odor emanating from the landfill, so she rolled up her car windows as she drove past.",The odor emanating from the landfill made Brooke so nauseous that she had to roll up the car windows as she drove past.,,
"What does the verbal irony in this text suggest?
""That fits you well,"" Ezra remarked after Anna's cap fell over her eyes for the tenth time.",The cap was too big.,The cap was a good fit.,,
"Which figure of speech is used in this text?
Deb insisted that her dog wasn't fat; she said that he was merely well-fed.",paradox,euphemism,,
Suppose Amanda decides to go on the pirate ship. Which result would be a cost?,Amanda will give up the chance to go on the Ferris wheel. She would have had more fun on that ride.,Amanda will save some ride tickets. She needs fewer tickets to go on the pirate ship than on the Ferris wheel.,,
"Which figure of speech is used in this text?
When Mona first joined the track team, she was afraid of jumping, but she got over that hurdle.",verbal irony,pun,,
"What is the source of the allusion in the sentence below?
Warren described the situation he was facing with his boss as a catch-22.",a song,literature,,
"What is the source of the allusion in the sentence below?
Most of the people who knew Harold considered him to be an unrepentant Casanova.",history,Greek mythology,,
"What does the metaphor in this text suggest?
Kiara felt a roller coaster of emotions when she heard the news.",Kiara found the news scary.,Kiara had varied feelings.,,
"Which figure of speech is used in this text?
He clasps the crag with crooked hands;
Close to the sun in lonely lands . . .
—Alfred, Lord Tennyson, ""The Eagle""",idiom,alliteration,,
"Which logical fallacy is used in the text?
Nuclear weapons are a threat to the stability and safety of the world. Like nuclear weapons, nuclear power plants rely on fission. Therefore, nuclear power plants are also a threat to the stability and safety of the world.",circular reasoning: an argument that supports a claim with the claim itself,guilt by association: a negative association intended to discredit someone or something,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,
"Which figure of speech is used in this text?
Amy's Bistro used to be a great place to go for a delicious and carefully prepared dinner, but nobody goes there anymore: it's too crowded.",euphemism,paradox,,
"Which figure of speech is used in this text?
""This box weighs a ton!"" Martin panted. ""Carly, would you mind helping me carry it up the stairs?""",understatement,hyperbole,,
"What is the source of the allusion in the sentence below?
Will's research on nineteenth-century philosophers led him down the rabbit hole.",literature,the Bible,,
"What kind of sentence is this?
How many articles did Oliver write before his publisher offered him a book contract?",imperative,exclamatory,interrogative,
"Which logical fallacy is used in the text?
President Ballard is an effective communicator, because he has a natural talent for speaking with people.",circular reasoning: an argument that supports a claim with the claim itself,false dichotomy: an argument that presents only two choices when more options exist,,
Which sentence uses a simile?,Mr. Dotson's long legs were sunflower stalks.,Mr. Dotson's legs were as long as sunflower stalks.,,
"Which logical fallacy is used in the text?
Did you really vote for Samir as class treasurer? Didn't you hear that his uncle was imprisoned for embezzling $1.5 million?",guilt by association: a negative association intended to discredit someone or something,appeal to nature: the assumption that natural things are always good,,
"Which tense does the sentence use?
Ben carefully spelled the word aloud.",present tense,past tense,future tense,
"Which word would you find on a dictionary page with the following guide words?
giraffe - grade",glossy,generally,,
"What is the source of the allusion in the sentence below?
Mrs. McCall decided not to argue with the name her daughter had chosen for their new kitten, figuring it was a matter of a rose by any other name.",Shakespeare,a poem,,
"Which figure of speech is used in this text?
If you're going to become true dodgeballers, then you've got to learn the five d's of dodgeball: dodge, duck, dip, dive and dodge!
—Dodgeball: A True Underdog Story",metaphor,alliteration,,
"What does the verbal irony in this text suggest?
""This is the best day of my life,"" Mr. Mercado mumbled after his car broke down on the way to an important job interview.",Mr. Mercado was already running late.,Mr. Mercado was having a bad day.,,
Is there a surplus or a shortage of stuffed elephants?,surplus,shortage,,
"Would you find the word hickory on a dictionary page with the following guide words?
head - hurry",yes,no,,
"Which word would you find on a dictionary page with the following guide words?
hail - hound",hunger,hind,,
"What does the verbal irony in this text suggest?
After a jog around the block, Katie collapsed on the couch and declared with a wheeze, ""Well, I'm ready to run a marathon.""",Katie felt full of energy.,Katie was out of shape.,,
"Which tense does the sentence use?
Lily will print her name with care.",past tense,future tense,present tense,
"Which logical fallacy is used in the text?
You won't find a single polite person in a big city. I went downtown today, and no one would stop to give me directions! Those city dwellers have got some nerve!","false causation: the assumption that because two things happened together, one caused the other",appeal to nature: the assumption that natural things are always good,hasty generalization: a broad claim based on too few observations,
"What kind of sentence is this?
In the game today, Molly hit a home run with bases loaded!",declarative,exclamatory,interrogative,
"Which logical fallacy is used in the text?
You may be impressed by Senator Carter's work with low-income communities, but the fact remains that he graduated from an elite university. He couldn't possibly empathize with low-income constituents.",guilt by association: a negative association intended to discredit someone or something,appeal to nature: the assumption that natural things are always good,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,
"Last year, 50,000 people lived in the city of Westford. But since then, 8,000 people have moved away. What probably happened to the overall supply of houses for sale in Westford?",The supply probably went up.,The supply probably went down.,,
"Which figure of speech is used in this text?
Reba, please stay away from the ocean. You shouldn't go in the water until you know how to swim.",euphemism,paradox,,
"Would you find the word direction on a dictionary page with the following guide words?
do - duty",yes,no,,
"Which logical fallacy is used in the text?
Everyone I know is making fruit smoothies for quick, portable meals, so smoothies must be really good for you.",hasty generalization: a very broad claim based on very little evidence,bandwagon fallacy: the assumption that the popular choice is automatically correct,,
"The city of Lexington has been one of the world's biggest makers of cough drops for many years. But last month, Lexington's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go up.,The supply will probably go down.,,
