Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
"As distance from the source increases, the area covered by the sound waves increases, lessening what?",velocity,density,intensity,duration,C,Physics,Acoustics,C,C,1,1
The magnitude of the wave function at a particular point in space is proportional to what property of the wave at that point?,voltage,amplitude,frequency,Sounding,B,Physics,Acoustics,B,B,1,1
All waves are the way energy travels through what?,matter,vacuums,time,space,A,Physics,Acoustics,A,A,1,1
To figure out the height of a wave you measure the distance between the crest and what?,drift,trough,core,crater,B,Physics,Acoustics,B,B,1,1
"For most waves, energy is proportional to what, a term that describes the height of the wave?",wave frequency,wave amplitude,wave volume,wave threshold,B,Physics,Acoustics,B,B,1,1
What type of equations allows calculation of the wavelength of any moving object?,disc wave,debroglie wave,fluctuations wave,develpoment wave,B,Physics,Acoustics,B,B,1,1
"Because sound waves must move through a medium, there are no sound waves in a what?",liquid,solid,gas,vacuum,D,Physics,Acoustics,D,D,1,1
What is measured by the intensity of the sound waves?,inputs,tone,loudness,pitch,C,Physics,Acoustics,C,C,1,1
What is it called when two waves combine to create a larger wave?,Destructive Interference,consistent interference,constructive interference,wave propagation,C,Physics,Acoustics,C,C,1,1
What produces sound waves that travel outward in all directions in water?,ultrasound machines,echo chamber,echo sounders,amplifiers,C,Physics,Acoustics,C,A,1,0
Stringed instruments can help show the relationship between tension and what in strings?,frequencies,volumes,temperatures,lengths,A,Physics,Acoustics,A,A,1,1
How high or low a sound seems is associated with what property of the sound?,decibel,pitch,frequency,wavelength,B,Physics,Acoustics,B,C,1,0
"What occurs when the crests of one wave overlap the troughs, or lowest points, of another wave?",harmful interference,random interference,destructive interference,constructive interference,C,Physics,Acoustics,C,C,1,1
What is the measure of sound intensity levels?,moles,octaves,decibels,centimeters,C,Physics,Acoustics,C,C,1,1
"According to one of einstein's theory, while light consists of particles, it behaves like this.",tides,thermodynamics,waves,molecules,C,Physics,Acoustics,C,C,1,1
What type of waves start when a source of energy causes a disturbance in the medium?,fluid waves,mechanical currents,magnetic waves,mechanical waves,D,Physics,Acoustics,D,D,1,1
What concentrates wave energy or disperses it?,wave diffusion,wave refraction,a prism,wave reflection,B,Physics,Acoustics,B,B,1,1
What is heard when sound waves bounce back from a surface that they can't pass through?,echo,radio,ultrasound,loop,A,Physics,Acoustics,A,A,1,1
Different types of interference include destructive and what else?,consistent,helpful,constructive,active,C,Physics,Acoustics,C,C,1,1
How do all musical instruments create sound?,vibration,condensation,stimulation,conduction,A,Physics,Acoustics,A,A,1,1
What sound can be heard when sound waves bounce back from a hard object?,echo,eerie,loop,boom,A,Physics,Acoustics,A,A,1,1
What term is defined as the ability to locate objects in the dark by bouncing sound waves off them.,morphology,night vision,echolocation,thermodynamics,C,Physics,Acoustics,C,C,1,1
The product of a wave's wavelength and its frequency is what?,velocity,speed,trough,amplitude,B,Physics,Acoustics,A,A,0,0
What is a measure of the size of sound waves?,amplitude,wavelength,voltage,frequency,A,Physics,Acoustics,A,A,1,1
What is the distance that sound waves travel in a given amount of time called?,velocity of sound,momentum of sound,force of sound,speed of sound,D,Physics,Acoustics,D,D,1,1
A standing wave is created when what type of wave interferes with the original wave?,translated wave,realized wave,refracted wave,reflected wave,D,Physics,Acoustics,D,D,1,1
The wave on a guitar string is transverse. the sound wave rattles a sheet of paper in a direction that shows the sound wave is what?,longitudinal,obtuse,lateral,magnetic,A,Physics,Acoustics,A,A,1,1
"In the small intestine, chyme mixes with bile, which emulsifies what substances?",sugars,acids,proteins,fats,D,Biology,Anatomy/Physiology,D,D,1,1
"What component of an organism, made up of many cells, in turn makes up an organ?",molecules,muscles,tissues,epidermis,C,Biology,Anatomy/Physiology,C,C,1,1
What does blood pickup from the lungs to be carried throughout the rest of the body?,white blood cells,carbon,platelets,oxygen,D,Biology,Anatomy/Physiology,D,D,1,1
What term is used to describe joints in which the bones are connected by cartilage?,capillaries joints,blob joints,cartilaginous joints,spinal joins,C,Biology,Anatomy/Physiology,C,C,1,1
What is the division of the body into multiple parts called?,compression,transverse,organ-level organization,segmentation,D,Biology,Anatomy/Physiology,D,D,1,1
The reaction of which body system causes food allergies?,lymphatic system,immune system,cardiac system,nervous system,B,Biology,Anatomy/Physiology,B,B,1,1
Sebaceous glands produce an oily substance called what?,sebum,ear wax,pus,synovial fluid,A,Biology,Anatomy/Physiology,A,A,1,1
The right side of the heart collects what type of blood from the body?,oxygen-rich,dioxide-poor,potassium-rich,oxygen-poor,D,Biology,Anatomy/Physiology,D,D,1,1
What stage in human males lasts from about ages 12 to 18 years and is controlled by hormones?,childhood,adolescence,maturity,puberty,D,Biology,Anatomy/Physiology,D,D,1,1
What paired organs that are part of the urinary system play the prime role in excretion?,kidneys,ovaries,liver,lungs,A,Biology,Anatomy/Physiology,A,A,1,1
"What system includes lymph organs, lymph vessels, lymph, and lymph nodes?",immature,nervous,digestion,immune,D,Biology,Anatomy/Physiology,D,D,1,1
"What does the vertebral column , or backbone, protect?",disks,neurons,spinal cord,axons,C,Biology,Anatomy/Physiology,C,C,1,1
"Which system in the human body consists of the heart, a network of blood vessels, and blood?",cardiac system,nervous system,circulatory system,cardiovascular system,D,Biology,Anatomy/Physiology,C,D,0,1
"Involved in balance, the semicircular canals are parts of what organs?",lungs,eyes,ovaries,ears,D,Biology,Anatomy/Physiology,D,D,1,1
What do a group of cells that work together form?,tissue,organelle,molecule,organ,A,Biology,Anatomy/Physiology,A,A,1,1
What still causes fatal lung disease in nonsmokers?,tobacco smoke,nicotine,chewing tobacco,alcohol,A,Biology,Anatomy/Physiology,A,A,1,1
What is the middle layer that hair pass through before exiting at the surface of the skin?,epithelial tissue,cuticle,epidermis,dermis,C,Biology,Anatomy/Physiology,D,D,0,0
What is the gland in the chest behind the breast bone that stores some types of lymphocytes while they mature?,lumbar,Montgomery,pineal,thymus,D,Biology,Anatomy/Physiology,D,D,1,1
What do glands in the skin produce to cool down the body?,sweat,saliva,lactic acid,mucus,A,Biology,Anatomy/Physiology,A,A,1,1
By how many weeks do all major organs start developing?,12,8,4,9,B,Biology,Anatomy/Physiology,B,B,1,1
"Collagen fibers, elastic fibers, and reticular fibers comprise what type of tissue?",intestine tissue,nucleus tissue,skin tissue,connective tissue,D,Biology,Anatomy/Physiology,D,D,1,1
What do you call the system of glands that release chemical messenger molecules into the bloodstream?,nervous system,homeostasis system,endocrine system,limbic system,C,Biology,Anatomy/Physiology,C,C,1,1
What occurs when muscle fibers get shorter?,muscle contraction,muscle extension,muscle tension,muscle diffusion,A,Biology,Anatomy/Physiology,A,A,1,1
"The human body wants to maintain equilibrium or balance, also known as what?",perfection,homeostasis,heterostasis,stability,B,Biology,Anatomy/Physiology,B,B,1,1
What organ do we use to hear sound?,eye,antennae,amplifier,the ear,D,Biology,Anatomy/Physiology,D,D,1,1
The anatomical arrangement of capillaries and alveoli emphasizes the structural and functional relationship of what systems?,nervous and lymphatic,digestive and respiratory,endocrine and renal,respiratory and circulatory,D,Biology,Anatomy/Physiology,D,D,1,1
What secures together immovable joints and prevents them from moving?,light collagen,dense collagen,light cartilage,dense cartilage,B,Biology,Anatomy/Physiology,B,B,1,1
What the name of the disease where some of the alveoli of the lungs fill with fluid so they can no longer exchange gas?,pneumonia,leukemia,lung cancer,emphysema,A,Biology,Anatomy/Physiology,A,A,1,1
What is the process in which organ systems work to maintain a stable internal environment?,homogeneity,homeostasis,ketosis,organ balance,B,Biology,Anatomy/Physiology,B,B,1,1
The pituitary gland is called the “master gland” of what system?,endocrine,hormonal,digestive,nervous,A,Biology,Anatomy/Physiology,A,A,1,1
What are joints in which the bones are connected by a band of connective tissue?,cartilaginous,saddle,syndesmoses,plane,C,Biology,Anatomy/Physiology,C,C,1,1
After what stage do the last 2 stages of food  processing occur?,digestion,filtration,excretion,circulation,A,Biology,Anatomy/Physiology,B,D,0,0
"What happens when more glucose is present than the proteins can handle, in the body?",excreted as urine,cultured as urine,metamorphosed as urine,forms urine,A,Biology,Anatomy/Physiology,A,A,1,1
What type of tissue runs the length of a stem in vascular bundles?,vascular tissue,muscle tissue,thermal tissue,cardiac tissue,A,Biology,Anatomy/Physiology,A,A,1,1
What is a fluid-filled body cavity that is completely enclosed by mesoderm called?,hymenium,coelom,pseudocoelom,choroid,B,Biology,Anatomy/Physiology,B,B,1,1
Name a passageway that is shared with the digestive system.,trachea,pharynx,esophagus,larynx,B,Biology,Anatomy/Physiology,C,B,0,1
"A sticky, moist secretion that covers mucous membranes is called what?",sweat,mucus,pus,saliva,B,Biology,Anatomy/Physiology,B,B,1,1
What helps regulate the production of urine?,the pituitary gland,the temporal gland,the discrete gland,the fetal gland,A,Biology,Anatomy/Physiology,A,A,1,1
When are nutrients absorbed into the body?,during digestion,after excretion,before digestion,after digestion,A,Biology,Anatomy/Physiology,A,A,1,1
What type of joint has the greatest range of motion?,ball-and-socket,Hinge,Gliding,Pivot,A,Biology,Anatomy/Physiology,A,A,1,1
Blood calcium levels are tightly regulated by the what system?,cardiovascular,digestive,endocrine,nervous,C,Biology,Anatomy/Physiology,C,C,1,1
What is common in muscles that have become exhausted by use?,vibration acid fermentation,Blood Acid Fermentation,clumps acid fermentation,lactic acid fermentation,D,Biology,Anatomy/Physiology,D,D,1,1
"The mouth, stomach, esophagus, small intestine, and large intestine are all part of what organ system?",muscular,respiratory,digestive,lymphatic,C,Biology,Anatomy/Physiology,C,C,1,1
The pulmonary circulation carries blood between what two organs?,heart and pancreas,heart and lungs,kidney and heart,lungs and kidney,B,Biology,Anatomy/Physiology,B,B,1,1
What is the joint where the pelvic girdle and leg come together?,meniscus,hip socket,femur joint,hip joint,D,Biology,Anatomy/Physiology,B,D,0,1
"What organ is divided into the duodenum, the jejunum, and the ileum?",large intestine,kidney,small intestine,lung,C,Biology,Anatomy/Physiology,C,C,1,1
What is the smallest contractile portion of a muscle?,filaments,cell,sarcomere,capillary,C,Biology,Anatomy/Physiology,C,C,1,1
What body system gets rid of waste?,Muscular system,digestive system,nervous system,excretory system,D,Biology,Anatomy/Physiology,D,D,1,1
What system of the body uses amylase and pepsin in its functioning?,circulatory system,respiratory system,digestive system,hormonal system,C,Biology,Anatomy/Physiology,C,C,1,1
What is the sum total of all body reactions?,metabolism,respiration,growth,immunity,A,Biology,Anatomy/Physiology,A,A,1,1
"What serious sti can damage the heart, brain and other organs or even cause death, if untreated?",herpes,syphilis,chlamydia,cirrhosis,B,Biology,Anatomy/Physiology,B,B,1,1
Which system in the body exchanges gases with the outside air?,respiratory,immune,digestive,vascular,A,Biology,Anatomy/Physiology,A,A,1,1
The complement system is a series of proteins constitutively found in the what?,nucleus,blood plasma,organs,platelets,B,Biology,Anatomy/Physiology,B,B,1,1
Skeletal muscle tissue is arranged in bundles surrounded by this?,cartilage,connective tissue,epithelial tissue,soft tissue,B,Biology,Anatomy/Physiology,B,B,1,1
What structure of the body falls between cells and organs in complexity?,muscles,molecules,proteins,tissues,D,Biology,Anatomy/Physiology,D,D,1,1
Which organ of the body do large tapeworms attack or block?,liver,heart,kidneys,intestines,D,Biology,Anatomy/Physiology,D,D,1,1
Thrombocytes are more commonly known by what name?,chromosomes,platelets,molecules,droplets,B,Biology,Anatomy/Physiology,B,B,1,1
"The anterior pituitary produces seven different what, each with a special function?",proteins,neurotransmitters,enzymes,hormones,D,Biology,Anatomy/Physiology,D,D,1,1
"What is a longitudinal, flexible rod located between the digestive tube and the nerve cord?",the notochord,the oscillatory,tubular gland,the underlain,A,Biology,Anatomy/Physiology,A,A,1,1
"Most body fluids that you release from your body contain chemicals that kill pathogens. for example, mucus, sweat, tears, and saliva contain enzymes called?",lysozymes,enzymes,lipids,sporozoans,A,Biology,Anatomy/Physiology,A,A,1,1
What small glands are abundant within the mucous membranes of the mouth and tongue?,hypothalamus glands,retinal glands,localized glands,salivary glands,D,Biology,Anatomy/Physiology,D,D,1,1
"What is a collection of fibrin, platelets, and erythrocytes that has accumulated along the lining of a blood vessel called?",thrombus,atherosclerosis,embolus,clots,A,Biology,Anatomy/Physiology,A,A,1,1
"In which part of the ear are  the vibrations amplified by the malleus, incus, and stapes?",outer ear,inner ear,major ear,middle ear,D,Biology,Anatomy/Physiology,D,D,1,1
Blood enters the kidney through the which artery?,vas deferens,cardiac artery,renal artery,jugular,C,Biology,Anatomy/Physiology,C,C,1,1
"The posterior pituitary releases which hormone, which stimulates uterine contractions during childbirth?",estrogen,oxytocin,insulin,estradiol,B,Biology,Anatomy/Physiology,B,B,1,1
What do osteoclasts do to bone?,strengthen it,build it up,break it down,lengthen it,C,Biology,Anatomy/Physiology,C,C,1,1
The heart is a muscular organ that pumps blood through which system?,circulatory,endocrine,pulmonary,nervous,A,Biology,Anatomy/Physiology,A,A,1,1
"Within the first 8 weeks of gestation, a developing embryo establishes the rudimentary structures of all of its organs and tissues from the ectoderm, mesoderm, and endoderm. this process is called what?",abiogenesis,biosynthesis,organogenesis,parthenogenesis,C,Biology,Anatomy/Physiology,C,C,1,1
What are the messenger molecules of the endocrine system?,enzymes,neurons,hormones,acids,C,Biology,Anatomy/Physiology,C,C,1,1
Lymph capillaries collect fluid that leaks out of what?,blood capillaries,bladder,alveoli,lymph nodes,A,Biology,Anatomy/Physiology,A,A,1,1
What is the movement of fluid out of the capillaries called?,diffusion,absorption,osmosis,filtration,D,Biology,Anatomy/Physiology,D,D,1,1
"What system, which includes the skin, plays important roles in protection, sensing stimuli and thermoregulation?",integumentary system,pectins system,digestive system,teleporters system,A,Biology,Anatomy/Physiology,A,A,1,1
What part of the continuous dermal tissue system covers stems?,cuticle,epidermis,dermis,callus,B,Biology,Anatomy/Physiology,B,B,1,1
Triceps and biceps muscles in the upper arm are an example of what type of muscle relationship?,symbiotic,synchronized,competitive,opposing,D,Biology,Anatomy/Physiology,D,D,1,1
"In the nasal cavity, what 2 things trap particles from incoming air?",saliva and hair,phlegm and hair,mucus and skin,mucus and hair,D,Biology,Anatomy/Physiology,D,D,1,1
"The hamstrings flex the leg, whereas the quadriceps femoris have what effect?",contract,stabilize,extend,no effect,C,Biology,Anatomy/Physiology,C,C,1,1
Inferior rotation occurs during limb adduction and involves the downward motion of what?,choroidal cavity,pelvic cavity,glenoid cavity,dialysate cavity,C,Biology,Anatomy/Physiology,B,C,0,1
"The lungs perform gas exchange using air and what fluid, which is coming and going from the heart?",water,blood,mucus,saliva,B,Biology,Anatomy/Physiology,B,B,1,1
The hemolymph and body cells exchange chemicals within what body part?,the lungs,the sinuses,the heart,the gums,B,Biology,Anatomy/Physiology,C,C,0,0
What causes food to move through the esophagus?,photosynthesis,proteolysis,apoptosis,peristalsis,D,Biology,Anatomy/Physiology,D,D,1,1
What does the thymus gland produce?,b cells,t cells,insulin,hormones,B,Biology,Anatomy/Physiology,B,B,1,1
What physical process occurs when large chunks of food are broken down into smaller pieces?,chemical digestion,swallowing,mechanical digestion,peristalsis,C,Biology,Anatomy/Physiology,C,C,1,1
Which part of the ear amplifies the sound waves?,eardrum,middle ear,ear canal,cochlea,B,Biology,Anatomy/Physiology,B,B,1,1
Which is larger: the human sperm or the human egg?,same size,human egg,zygote,human sperm,B,Biology,Anatomy/Physiology,B,B,1,1
During what phase of breathing does the pressure inside the lungs drops to below atmospheric pressure?,exhalation,inhalation,conduction,ingestion,B,Biology,Anatomy/Physiology,B,B,1,1
The volume of blood each ventricle pumps per minute is called what?,trauma output,cardiac output,blood output,brain output,B,Biology,Anatomy/Physiology,B,B,1,1
Bones are made up of different types of what?,blood cells,cartilage,tissue,fiber,C,Biology,Anatomy/Physiology,B,C,0,1
What is the chief organ of the urinary system?,kidney,liver,bladder,lung,A,Biology,Anatomy/Physiology,A,A,1,1
This bodily defense function attacks pathogens and includes inflammatory response and phagocytosis?,third line of defense,second line of defense,first line of defense,vomitting,B,Biology,Anatomy/Physiology,B,B,1,1
What's the term for the period during which women's ovaries stop producing eggs?,menopause,puberty,maturity,adolescence,A,Biology,Anatomy/Physiology,A,A,1,1
Venus rotates slowly in a direction opposite to the direction of what?,the Earth's orbit,the orbit of Mars,the sun,its orbit,D,Physics,Astronomy,C,D,0,1
What is the smallest of the galilean moons?,demos,phoebe,europa,aura,C,Physics,Astronomy,C,C,1,1
What kind of movement do planets in the solar system make around the sun?,round orbits,optical orbits,elliptical orbits,spinning orbits,C,Physics,Astronomy,C,C,1,1
The sun and all objects held by it's gravity make up the?,planet,solar system,milky way,atmosphere,B,Physics,Astronomy,B,B,1,1
What man-made devices in space are used to observe the earth's surface?,satellites,telescopes,crystals,sensors,A,Physics,Astronomy,A,A,1,1
How does the distance between galaxies change as the universe expands?,it decreases,it increases,it is unchanged,it becomes irrelevant,B,Physics,Astronomy,B,B,1,1
Evidence for the presence of what on mars makes scientists think that life might have existed there in the past?,gas,water,plasma,air,B,Physics,Astronomy,B,B,1,1
"Stars are born in clouds, and they form and grow dense due to what force?",kinetic energy,Big Bang theory,coreolis effect,gravity,D,Physics,Astronomy,D,D,1,1
What distant and extraordinarily energetic objects now seem to be early stages of galactic evolution with a supermassive black-hole-devouring material?,stars,quasars,pulsars,neutrinos,B,Physics,Astronomy,B,B,1,1
What is at the center of our solar system?,earth,the moon,the sun,the Kuiper Belt,C,Physics,Astronomy,C,C,1,1
"When the hydrogen is nearly used up, the star can fuse which element into heavier elements?",carbon,xenon,helium,oxygen,C,Physics,Astronomy,A,C,0,1
What was used to measure the distance between the earth and the moon?,telescope,yardstick,laser beam,ultrasound,C,Physics,Astronomy,C,C,1,1
What colorful phenomenon occurs in the northern sky when particles from the sun energize ions in the thermosphere?,meteor shower,Coriolis effect,aurora nervosa,northern lights,D,Physics,Astronomy,D,D,1,1
What are observable patterns of stars found in the night sky called?,constellations,latitudes,deformations,deviations,A,Physics,Astronomy,A,A,1,1
What force holds together both types of star clusters?,magnetism,weight,gravity,inertia,C,Physics,Astronomy,C,C,1,1
"Which type of galaxies contain very little gas and dust, are red to yellow in color, contain over a trillion stars and have mostly old stars?",blue elliptical galaxies,giant orbital galaxies,giant elliptical galaxies,giant gaseous galaxies​,C,Physics,Astronomy,C,C,1,1
Earth rotates on its axis once each day and revolves around the sun how often?,once each month,ever 3 years,once each year,every other year,C,Physics,Astronomy,C,C,1,1
What are used to make maps of the moon and other planets?,radio telescopes,topographical charts,rendering satellites,imaging satellites,D,Physics,Astronomy,D,D,1,1
The pull of the moon’s gravity on earth is the main cause of what water phenomenon?,tides,storms,floods,waves,A,Physics,Astronomy,A,A,1,1
What process converts the sun's hydrogen nuclei into helium?,solar fission,nuclear fission,combustion,nuclear fusion,D,Physics,Astronomy,D,D,1,1
"Very large stars eventually become what extremely dense space regions, which are so dense that no light can escape from them?",dark matter,black holes,worm holes,moons,B,Physics,Astronomy,B,B,1,1
"Which direction does the sun, moon, and stars appear to travel?",west to east,south to north,east to west,north to south,C,Physics,Astronomy,C,C,1,1
What does interstellar medium consist of?,gravitational waves,thinly spread gas and dust,the strong force,dark matter,B,Physics,Astronomy,B,B,1,1
Which constellation looks like a rectangle high in winter's south-southeastern sky?,Apus,Caelum,Andromeda,orion,D,Physics,Astronomy,D,D,1,1
What are small planets in our solar system called?,Tiny planets,scrub planets,dwarf planets,light planets,C,Physics,Astronomy,C,C,1,1
What is the most abundant element in the universe?,hydrogen,helium,oxygen,fluoride,A,Physics,Astronomy,A,A,1,1
What planet is closest to our sun?,Earth,Venus,Pluto,mercury,D,Physics,Astronomy,D,D,1,1
The once compressed universe expanded rapidly after what nicknamed event billions of years ago?,good bang,big bang,big explosion,big bust,B,Physics,Astronomy,B,B,1,1
What is the only planet that is known to support life?,Mars,Venus,Saturn,earth,D,Physics,Astronomy,D,D,1,1
"The moon has a crust, mantle, and a?",core,magnetic field,ice cap,mountain range,A,Physics,Astronomy,A,A,1,1
"Covering about 16 percent of the moon's surface, maria are dark, solid, flat areas consisting of what substance?",debris,ash,lava,dust,C,Physics,Astronomy,C,C,1,1
What do scientists use to search other planets suitable for living?,optics,lasers,telescopes,microscopes,C,Physics,Astronomy,C,C,1,1
