Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch
The passing of traits from parents to offspring is done through what?,sperm,dna,egg,blood,B,Biology,Genetics
In a glass of sweet tea the sugar is known as the solute and the water is known as what?,solvent,solid,pigment,calcium,A,Chemistry,Inorganic Chemistry
"A few earthquakes take place away from plate boundaries, these are called what?",deformation earthquakes,intraplate earthquakes,outer earthquakes,distant earthquakes,B,Earth Sciences,Geology
Red litmus paper turns what color when placed in a basic solution?,white,orange,pink,blue,D,Chemistry,Inorganic Chemistry
The difference between the theoretical half-reaction reduction potential and the actual voltage required is called what?,excess,overpotential,resistance,overcharge,B,Chemistry,Physical Chemistry
"While the egg is developing, other changes are taking place in the uterus. it develops a thick lining that is full of what?",tiny blood vessels,white blood cells,large arteries,amniotic fluid,A,Biology,Reproductive Biology
The neural plate undergoes a series of cell movements where it rolls up and forms a tube called what?,cell tube,neural tube,occular tube,peripheral tube,B,Biology,Reproductive Biology
"Due to the __________ nature of the lipids that make up cell membranes, polar molecules (such as water) and ions cannot easily diffuse across the cell membrane.",hydrophobic,hydrophylic,saturated,catalytic,A,Biology,Cell Biology
In what way do all vertebrates reproduce?,asexually,sexually,mitosis,biologically,B,Biology,Reproductive Biology
"First, high temperature denatures proteins and does what to cells?",kills them,finds them,develops them,exposes them,A,Biology,Cell Biology
What term is used to describe a collection of molecules surrounded by a phospholipid bilayer that is capable of reproducing itself?,atom,cell,proteins,organism,B,Biology,Cell Biology
"By allowing blood levels of a hormone to be regulated within a narrow range, feedback loops contribute to maintaining what state?",hibernation,homeostasis,hypothesis,consciousness,B,Biology,Anatomy/Physiology
"Collagen fibers, elastic fibers, and reticular fibers comprise what type of tissue?",intestine tissue,nucleus tissue,skin tissue,connective tissue,D,Biology,Anatomy/Physiology
What the name of the disease where some of the alveoli of the lungs fill with fluid so they can no longer exchange gas?,pneumonia,leukemia,lung cancer,emphysema,A,Biology,Anatomy/Physiology
What occurs when groups from the same species stop mating because of something other than physical or geographic separation?,complementary speciation,extinction,sympatric speciation,invasive speciation,C,Biology,Ecology
What environment do animals with gills live in?,underground,air,water,cold,C,Biology,Ecology
What is the boiling and freezing point of water in celcius?,100 degrees c and 32 degrees c,212 degrees c and 0 degrees c,100 degrees c and 0 degrees c,212 degrees c and 32 degrees c,C,Chemistry,Inorganic Chemistry
What are living things that obtain glucose by eating self feeders called?,producers,chimeras,viruses,heterotrophs,D,Biology,Ecology
Virtually every task performed by living organisms requires this?,solids,mineral,energy,metals,C,Biology,Biochemistry
The binding of what helps eliminate antigens by phagocytosis and complement-mediated lysis,proteins,amino acids,antibodies,fats,C,Biology,Anatomy/Physiology
What muscles are used to pump water over the gills?,lungs and pharynx,jaws and pharynx,pharynx and tonsils,muscles and pharynx,B,Biology,Zoology
Compounds like sodium chloride form structures called what?,microorganisms,crystals,ions,hydrocarbons,B,Chemistry,Inorganic Chemistry
What are made of long chains consisting almost solely of carbon and hydrogen?,nucleic acids,enzymes,lipids,proteins,C,Chemistry,Organic Chemistry
Inserting copies of normal genes into a patient with defective genes is known as?,pattern therapy,cloning,chromosome treatment,gene therapy,D,Biology,Genetics
What type of reproduction usually occur during times of environmental stress?,internal reproduction,hysterical reproduction,sexual reproduction,asexual reproduction,C,Biology,Reproductive Biology
"All forms of energy can be interconverted. three things can change the energy of an object: the transfer of heat, work performed on or by an object, or some combination of what?",heat and work,temperature and work,humidity and work,cold and energy,A,Physics,Thermodynamics
What are alloys that are mostly composed of mercury known as?,amalgams,fillings,halogens,compounds,A,Chemistry,Inorganic Chemistry
What are made from highly reflective metal that is applied to a curved or flat piece of glass?,lenses,mirrors,kaleidoscopes,prisms,B,Physics,Optics
What do ranchers fear will happen if wolves return?,human predation,loss of environment,livestock predation,vegetation predation,C,Biology,Ecology
How many types of surface waves are there?,three,two,over a hundred,six,B,Earth Sciences,Oceanography
What is the rigid layer that is found outside the cell membrane and surrounds the cell?,cell shield,cell barrier,cell wall,cell root,C,Biology,Cell Biology
"Surface tension of alveolar fluid, which is mostly water, creates an inward pull of the tissue of what organ?",brain,lung,spleen,heart,B,Biology,Anatomy/Physiology
What type of tumor mostly does not cause serious problems and can be completely removed by surgery?,persistent,toxic,benign,malignant,C,Biology,Anatomy/Physiology
What supports and protects the soft organs of the body?,skull,Skin,Muscle,skeleton,D,Biology,Anatomy/Physiology
What celestial body is the earth’s main source of energy?,ocean,rivers,moon,sun,D,Physics,Astronomy
What do you call the horizontal stems of a strawberry plant that run over the ground surface?,climbing vines,root volunteers,sprouts,stolons,D,Biology,Botany
Glaciers are incredibly powerful agents of what?,climate change,insulation,extinction,erosion,D,Earth Sciences,Geology
What type of pressure is the pressure exerted by gas particles in earth’s atmosphere as those particles collide with objects?,atmospheric pressure,vertical pressure,adjacent pressure,adjacent pressure,A,Earth Sciences,Atmospheric Science
What helps the plasma membrane keep its shape?,molecules of cholesterol,molecules of oxygen,molecules of carbohydrates,cytoplasm,A,Biology,Cell Biology
What type of reproduction only involves one parent?,primitive,organic,asexual,binary,C,Biology,Reproductive Biology
"What is defined as a repeating series of events that include growth, dna synthesis, and cell division?",meiosis,photosynthesis,cell cycle,puberty,C,Biology,Cell Biology
"How metalloids behave in chemical interactions with other elements depends mainly on the number of what, in the outer energy level of their atoms?",positrons,protons,electrons,neutrons,C,Physics,Atomic Physics
What distinguishing characteristic of annelid anatomy shows specialization and adaptation?,segmentation,asymmetry,beautiful,compression,A,Biology,Zoology
The spermatids are transported from the testes to where?,Duodenum,epididymis,abdominis,vas,B,Biology,Reproductive Biology
How does water from roots reach the leaves?,water - combining cells,water-conducting cells,water - raising cells,water-phobic cells,B,Biology,Botany
"As a polycrystalline material solidifies, grains with irregular shapes form. the interfaces between grains constitute grain what?",waves,boundaries,patterns,obstacles,B,Chemistry,Physical Chemistry
Motors are the most common application of magnetic force on current-carrying wires. motors have loops of wire in this?,capacitors,magnetic field,electrical circuit,spark plugs,B,Physics,Electromagnetism
What makes and stores pigments that give petals and fruit their orange and yellow colors?,sporozoans,protozoa,pores,chromoplasts,D,Biology,Botany
What term is used to describe when a liquid is the temperature at which its equilibrium vapor pressure is equal to the pressure exerted on the liquid by its gaseous surroundings?,boiling point,freezing point,burning point,evaporating point,A,Physics,Thermodynamics
"When electrons return to a lower energy level, they emit the excess energy in the form of what?",weight,electricity,energy,light,D,Physics,Atomic Physics
What is another term for nearsightedness?,glaucoma,hypoxia,myopia,anemia,C,Biology,Anatomy/Physiology
What are the areas located at fixed distances from the nucleus of the atom?,energy levels,atomic regions,molar levels,orbit points,A,Physics,Atomic Physics
"In which state of matter do particles take the shape of their container, but cannot expand to fill it?",mixture,gas,liquid,chemical,C,Chemistry,Physical Chemistry
Runoff is likely to cause more what if the land is bare?,abrasion,erosion,sediment,weathering,B,Earth Sciences,Geology
Cations have what type of charge?,neutral,negative,constant,positive,D,Physics,Atomic Physics
"What organ is subdivided into ascending, descending, transverse and sigmoid parts?",colon,heart,uterus,lungs,A,Biology,Anatomy/Physiology
"Ammonia, urea, and uric acid are examples of what kind of waste?",sulphurous,nitrogenous,carbonous,oxygenous,B,Chemistry,Organic Chemistry
What are variants of genes called?,mutations,alleles,antigens,allergens,B,Biology,Genetics
"Mushrooms are an example of what type of organism, which includes beneficial and toxic specimens?",spores,bacteria,fungi,seeds,C,Biology,Microbiology
Comparing what sequences provides clues to evolution and development?,DNA,genome,genes,organisms,B,Biology,Genetics
"What is a measure of the average amount of energy of motion, or kinetic energy, a system contains called?",size,variation,temperature,precipitation,C,Physics,Thermodynamics
What is the minimum mass capable of supporting sustained fission called?,concentrated mass,critical mass,baseline mass,particular mass,B,Physics,Nuclear and Particle Physics
Many hydrocarbons are cyclic and adopt specific three-dimensional structures that influence their physical and what properties?,electrical,liquid,radiation,chemical,D,Chemistry,Organic Chemistry
"The secondary wall contains _________ , a secondary cell component in plant cells that have completed cell growth/expansion.",lignin,cytoplasm,glucogen,cellulose,A,Biology,Cell Biology
What does the cell cycle do?,create new cells,only divide cells,divide and reproduce cells,only reproduce cells,C,Biology,Cell Biology
"Inside the nasal area of the skull, the nasal cavity is divided into halves by the what?",cerebral cortex,cytoplasm,cell wall,nasal septum,D,Biology,Anatomy/Physiology
"Bacteria can be chemotrophs, which obtain what by breaking down chemical compounds in their environment?",energy,waste,chemials,food,A,Biology,Biochemistry
"Habitat loss, introduced species, overharvesting, and global change are major threats to what?",the sun,the earth's gravity,transportation,biodiversity,D,Biology,Ecology
"What ""plumbing"" structures inside the veins maintain a unidirectional flow of blood despite the low blood pressure?",valves,funnels,tubes,pumps,A,Biology,Anatomy/Physiology
What do we call the cartilaginous structure that surrounds the notochrod?,clavicle,arcualia,osteocytes,membrane,B,Biology,Anatomy/Physiology
What is the process of the transfer of pollen from an anther to a stigma in angiosperms called?,evolution,pollination,grabation,wind,B,Biology,Botany
"Despite its small size, an erythrocyte contains about 250 million molecules of what?",plasma,calcium,potassium,hemoglobin,D,Biology,Microbiology
How many variables are used to describe the condition of a gas?,five,four,one,three,B,Physics,Thermodynamics
Land plants are classified into two major groups according to the absence or presence of what tissue?,vascular,root,disease,bacterial,A,Biology,Botany
"What substances, which are distinct from acids and bases, form when ions form ionic bonds?",vitamins,salts,oils,water molecules,B,Chemistry,Inorganic Chemistry
What is the name for biochemical compounds that consist of one or more chains of small molecules called amino acids?,protons,lipids,hormones,proteins,D,Biology,Biochemistry
What are the ionic compounds that produce negative hydroxide ions when dissolved in water?,bases,isotopes,acids,enzymes,A,Chemistry,Inorganic Chemistry
"The atomic number of tungsten is 74. therefore, in a neutral atom of tungsten, there are 74 electrons. the atomic number of argon is 18. therefore, in a neutral atom of argon, there are how many electrons?",9,74,36,18,D,Chemistry,Physical Chemistry
What is the apparatus used for carrying out an electrolysis reaction?,catalyst,an electrolytic cell,Golgi apparatus,an aqueous cell,B,Chemistry,Physical Chemistry
What two ways may light be transmitted?,reflected or refracted,magnified or scattered,absorption and refraction,refracted or scattered,D,Physics,Optics
"Triggered by changes in the environment, migration and hibernation occur as cycles on what temporal basis?",bi-annually,seasonally,annual,monthly,C,Biology,Ecology
What pair of tubes that extends toward the ovaries features a fringelike structure that sweeps eggs inside?,ovarian tubes,golgi apparatus,vas deferens,fallopian tubes,D,Biology,Reproductive Biology
"In most animals, what sense is related to balance or equilibrium?",tasting,hearing,vision,feeling,B,Biology,Zoology
Terminal pods are located at the end of what?,leaves,fruits,stems,spines,C,Biology,Botany
What forms when the spores from two parents fuse during sexual reproduction?,xerophyte,zygospore,spirogyra,monospore,B,Biology,Reproductive Biology
What is the name of the galaxy we live in?,milky way,Centaurus A,Andromeda,Bode's Galaxy,A,Physics,Astronomy
What are the most common seedless vascular plants?,ferns,trees,grasses,weeds,A,Biology,Botany
"In a monogamous pairing, a male individual is generally paired with what other type of individual in a sexual relationship?",worker,male,female,drone,C,Biology,Reproductive Biology
What is a mass spectrometer used to measure?,subatomic masses,partial atomic masses,relative atomic masses,optical atomic masses,C,Physics,Atomic Physics
What combines sets of genes from two different parents leading to genetically diverse offspring?,cellular reproduction,subject reproduction,sexual destruction,sexual reproduction,D,Biology,Genetics
Global warming will raise ocean levels due to melt water from glaciers and the greater volume of what?,greenhouse gases,warmer water,rainforests,rain,B,Environmental Science,Environmental Science
What are groups of young stars loosely held together by gravity called?,open clusters,galaxies,constellations,closed clusters,A,Physics,Astronomy
What does a pollinator pick up from its body and carry directly to another plant of the same species?,spore,pollen,pathogen,seed,B,Biology,Botany
What is formed when an oxygen atom picks up a pair of hydrogen ions from a solution?,turpentine,water,liquid,ammonia,B,Chemistry,Inorganic Chemistry
What does the driving of turbines by the heating of water to steam accomplish?,depletion of electricity,generation of electricity,diffusion of electricity,absorption of electricity,B,Physics,Thermodynamics
What is a device that changes kinetic energy to electrical energy through electromagnetic induction?,a battery,a windmill,an electric generator,a diesel engine,C,Physics,Electromagnetism
What are the two types of vesicle transport called?,endocytosis and exocytosis,epithelium and exocytosis,dielectric and exocytosis,eptocytosis and exocytosis,A,Biology,Cell Biology
What do you call a species that has died out in the past?,inhabit,endangered,extinct,remnant,C,Biology,Ecology
Where does the embryo develop in a plant?,inside the stem after fertilization,outside the female plant after fertilization,inside the female plant after fertilization,inside the male plant after fertilization,C,Biology,Botany
What property of warm air causes it to rise above cold air?,lower density,greater pressure,greater density,higher temperature,A,Earth Sciences,Atmospheric Science
Which branch of biology studies animal behavior?,ethology,microbiology,anthropology,embryology,A,Biology,Zoology
What unit of measure is equal to the amount of work a horse can do in 1 minute?,watt,joule,torque,horsepower,D,Physics,Mechanics
"What organism is characterized by an incomplete digestive system and a single, tentacled opening?",prokaryotes,annelids,sponges,cnidarians,D,Biology,Zoology
"What term is not the same as energy, but means the energy per unit charge?",voltage,speed,frequency,mass,A,Physics,Electromagnetism
What specific part of the african violet is used to propagate other plants?,petals,spores,leaves,roots,C,Biology,Botany
What are fibers that depend on aerobic respiration called?,evaporative fibers,hydrogen fibers,oxidative fibers,fragile fibers,C,Biology,Cell Biology
Which form of electromagnetic waves have more energy: low frequency wave or high frequency waves?,high frequency waves,neither,low frequency waves,the same,A,Physics,Electromagnetism
What do the letters in our blood types represent?,alleles,proteins,genomes,iron levels,A,Biology,Genetics
The two stages of photosynthesis are the light reactions and what?,digestive cycle,respiratory cycle,calvin cycle,reproductive cycle,C,Biology,Botany
What do living things need to survive?,heat,oxygen,molecules,nutrients,D,Biology,Ecology
The denser regions of the electron cloud are called what?,cores,orbitals,lattices,isotopes,B,Chemistry,Physical Chemistry
"In studying energy, what term do scientists use to refer to the matter and its environment involved in energy transfers?",ecosystem,system,molecule,world,B,Physics,Thermodynamics
"To measure what changes that occur in chemical reactions, chemists usually use a related thermodynamic quantity, calledenthalpy?",evaporation,ion exchange,energy,entropy,C,Chemistry,Physical Chemistry
"A system in what state cannot spontaneously change, and therefore can do no work?",equilibrium,equality,balance,stability,A,Physics,Thermodynamics
What is a species that plays an especially important role in it's community called?,Invasive,complement,keystone,Leader,C,Biology,Ecology
"What term that shows how fast a population is growing includes new members added to the population over a given period, as well as old members removed from the population?",population density,growth rate,birth rate,emigration,B,Biology,Ecology
The rings of what planet can be easily seen from earth?,Venus,saturn,jupiter,Neptune,B,Physics,Astronomy
What planet is a blue green color?,Mars,sirius,Mercury,uranus,D,Physics,Astronomy
The simplest class of organic compounds is the what?,Phenols,hydrocarbons,particles,gas,B,Chemistry,Organic Chemistry
Some meteorites are made of iron and nickel and are thought to be very similar to what part of the earth?,crust,shelf,mantel,core,D,Earth Sciences,Geology
"Which pathway carries somatosensory information from the face, head, mouth, and nasal cavity?",trigeminal pathway,posterior pathway,dual pathway,cranial pathway,A,Biology,Anatomy/Physiology
The amount of kinetic energy in a moving object depends directly on its mass and what else?,velocity,direction,volume,density,A,Physics,Thermodynamics
