Question,A,B,C,D,E,Correct Option,Sub-Branch
at what price must an book costing $ 47.50 be marked in order that after deducting 10 % from the list price . it may be sold at a profit of 25 % on the cost price ?, 72.5 , 55.5 , 62.5 , 82.5 , 65.9,E,Gain
a man buys an article for $ 110 . and sells it for $ 125 . find the gain percent ?, 10 % , 13.6 % , 25 % , 20 % , 30 %,B,Gain
uncle bruce is baking chocolate chip cookies . he has 36 ounces of dough ( with no chocolate ) and 14 ounces of chocolate . how many ounces of chocolate are left over if he uses all the dough but only wants the cookies to consist of 20 % chocolate ?, 3 , 6 , 7.2 , 5 , 9,D,Gain
"if c is 25 % of a and 10 % of b , what percent of a is b ?", 2.5 % , 15 % , 25 % , 35 % , 250 %,E,Gain
"a retail appliance store priced a video recorder at 20 percent above the wholesale cost of $ 200 . if a store employee applied the 30 percent employee discount to the retail price to buy the recorder , how much did the employee pay for the recorder ?", $ 198 , $ 216 , $ 220 , $ 230 , $ 168,E,Gain
"a bookseller sells his books at a 15 % markup in price . if he sells a book for $ 23.00 , how much did he pay for it ?", $ 14.40 , $ 14.00 , $ 21.00 , $ 19.60 , $ 20.00,E,Gain
a fair price shopkeeper takes 10 % profit on his goods . he lost 20 % goods during theft . his loss percent is :, 10 , 13 , 12 , 18 , 19,C,Gain
by selling 9 pencils for a rupee a man loses 20 % . how many for a rupee should he sell in order to gain 20 % ?, 8 , 9 , 7 , 4 , 6,E,Gain
"ritesh and co . generated revenue of rs . 1,250 in 2006 . this was 12.5 % of its gross revenue . in 2007 , the gross revenue grew by rs . 2,500 . what is the percentage increase in the revenue in 2007 ?", 12.5 % , 20 % , 25 % , 50 % , none of these,C,Gain
"an agent , gets a commission of 5 % on the sales of cloth . if on a certain day , he gets rs . 12.50 as commission , the cloth sold through him on that day is worth", 333 , 500 , 887 , 250 , 132,D,Gain
a sum of money at simple interest amounts to rs . 840 in 3 years and to rs . 854 in 4 years . the sum is :, 647 , 798 , 654 , 847 , 976,B,Gain
"in a school of 700 students , 45 % wear blue shirts , 23 % wear red shirts , 15 % wear green shirts , and the remaining students wear other colors . how many students wear other colors ( not blue , not red , not green ) ?", 109 , 119 , 129 , 139 , 149,B,Gain
4 guys buy same cellphones cost them 250 each . two guy have 25 % of for his first cellphone . what is the total cost all of them pay to seller ., 1000 , 850 , 875 , 775 , 750,C,Gain
the profit obtained by selling an article for rs . 86 is the same as the loss obtained by selling it for rs . 42 . what is the cost price of the article ?, rs . 40 , rs . 50 , rs . 49 , rs . 59 , rs . 64,E,Gain
what is 35 % of 4 / 13 of 845 ?, 58 , 69 , 80 , 91 , 102,C,Gain
after decreasing 40 % in the price of an article costs rs . 1050 . find the actual cost of an article ?, 1200 , 1750 , 1050 , 1570 , 1005,B,Gain
a sum fetched a total simple interest of rs . 6016.75 at the rate of 8 p . c . p . a . in 5 years . what is the sum ?, rs . 16241.875 , rs . 15041.85 , rs . 15401.875 , rs . 15041.875 , none of these,D,Gain
last year a certain bond price with a face value of 5000 yielded 6 % of its face value in interest . if that interest was approx 6.5 of the bond ' s selling price approx what was the bond ' s selling price ?, 4615 , 5325 , 5351 , 6000 , 6154,A,Gain
"a reduction of 40 % in the price of bananas would enable a man to obtain 64 more for rs . 40.00001 , what is reduced price per dozen ?", 6 , 5 , 4 , 3 , 2,D,Gain
"a certain company reported that the revenue on sales increased 40 % from 2000 to 2003 , and increased 60 % from 2000 to 2005 . what was the approximate percent increase in revenue for this store from 2003 to 2005 ?", 50 % , 40 % , 14 % , 32 % , 29 %,C,Gain
"a reduction of 21 % in the price of salt enables a lady to obtain 10 kgs more for rs . 100 , find the original price per kg ?", s . 2.66 , s . 2.4 , s . 2.5 , s . 2.2 , s . 2.1,A,Gain
"fox jeans regularly sell for $ 15 a pair and pony jeans regularly sell for $ 18 a pair . during a sale these regular unit prices are discounted at different rates so that a total of $ 4 is saved by purchasing 5 pairs of jeans : 3 pairs of fox jeans and 2 pairs of pony jeans . if the sum of the two discounts rates is 18 percent , what is the discount rate on pony jeans ?", 45 % , 13 % , 11 % , 12 % , 15 %,A,Gain
a shopkeeper buys mangoes at the rate of 6 a rupee and sells them at 4 a rupee . find his net profit or loss percent ?, 34 % , 39 % , 50 % , 35 % , 33 %,C,Gain
"in a certain parking lot , 5 % of the cars are towed for parking illegally . however 80 % of the cars which are parked illegally are not towed . what percentage of cars in the parking lot are parked illegally ?", 20 % , 25 % , 30 % , 35 % , 40 %,B,Gain
"a certain article of clothing was discounted during a special sale to 2 / 5 of its original retail price . when the clothing did n ' t sell , it was discounted even further to 1 / 2 of its original retail price during a second sale . by what percent did the price of this article of clothing decrease from the first sale to the second sale ?", 50 % , 33.33 % , 25 % , 16.66 % , 12.5 %,D,Gain
a shopkeeper sold 10 articles at the cost price of 12 articles . then find the profit % or lost %, - 10 % , 10 % , 15 % , 20 % , 25 %,D,Gain
"the price of a coat in a certain store is $ 500 . if the price of the coat is to be reduced by $ 350 , by what percent is the price to be reduced ?", 70 % , 15 % , 20 % , 25 % , 30 %,A,Gain
"the owner of a furniture shop charges his customer 10 % more than the cost price . if a customer paid rs . 7350 for a computer table , then what was the cost price of the computer table ?", rs . 6289 , rs . 6298 , rs . 6681 , rs . 6725 , rs . 6708,C,Gain
"20 % of a number is added to 120 , the result is the same number . find the number ?", 150 , 288 , 1687 , 997 , 121,A,Gain
"a discount electronics store normally sells all merchandise at a discount of 10 percent to 30 percent off the suggested retail price . if , during a special sale , an additional 20 percent were to be deducted from the discount price , what would be the lowest possible price of an item costing $ 200 before any discount ?", $ 112.00 , $ 145.60 , $ 163.80 , $ 182.00 , $ 100.00,A,Gain
"at a florist shop on a certain day , all corsages sold for either $ 20 or $ 30 . if 8 of the corsages that sold for $ 30 had instead sold for $ 20 , then the store ' s revenue from corsages that day would have been reduced by 10 percent . what was the store ' s actual revenue from corsages that day ?", $ 200 , $ 400 , $ 600 , $ 800 , $ 1000,D,Gain
"solution y is 30 percent liquid x and 70 percent water . if 2 kilograms of water evaporate from 8 kilograms of solutions y and 2 kilograms of solution y are added to the remaining 6 kilograms of liquid , what percent of this new liquid solution is liquid x ?", 30 % , 33 1 / 3 % , 37 1 / 2 % , 40 % , 50 %,C,Gain
what is 15 percent of 54 ?, 7.3 , 8.1 , 9.5 , 10.2 , 11.6,B,Gain
"during a sale of 20 % on everything in a store , a kid is successful in convincing the store manager to give him 40 candies for the discounted price of 14 candies . the store still makes a profit of 12 % on this sale . what is the mark up percentage on each candy ?", 100 % , 80 % , 75 % , 66 + 2 / 3 % , 55 %,E,Gain
"a man invests rs . 3,000 at the rate of 5 % per annum . how much more should he invest at the rate of 8 % , so that he can earn a total of 6 % per annum ?", rs . 1200 , rs . 1300 , rs . 1500 , rs . 2000 , none of these,C,Gain
"john had a stock of 1000 books in his bookshop . he sold 20 on monday , 120 on tuesday , 200 on wednesday , 250 on thursday and 300 on friday . what percentage of the books were not sold ?", 68 % , 74 % , 76 % , 62 % , 89 %,E,Gain
20 % of employees are women with fair hair . 40 % of fair - haired employees are women . what percent of employees have fair hair ?, 25 , 30 , 50 , 55 , 60,C,Gain
"of the land owned by a farmer , 90 percent was cleared for planting . of the cleared land , 30 percent was planted with soybeans and 60 percent of the cleared land was planted with wheat . if the remaining 540 acres of cleared land was planted with corn , how many acres did the farmer own ?", 7200 , 6000 , 3500 , 5000 , 6200,B,Gain
the cash difference between the selling prices of an book at a profit of 4 % and 6 % is $ 3 . the ratio of the two selling prices is :, 50 : 53 , 58 : 53 , 52 : 53 , 42 : 36 , 38 : 53,C,Gain
add 8 % of 24 and 10 % of 40 ., 9.5 , 10.5 , 5.5 , 5.9 , 8.5,D,Gain
25 % of 30 % of 45 % is equal to ?, 0.03375 , 0.03372 , 0.0337 , 0.03377 , 0.03376,A,Gain
"calculate the dividend from caleb ' s stock , if caleb he invested rs . 2500 at 79 to obtain an income of rs . 200 .", 6.32 , 5.32 , 7.32 , 2.32 , 1.32,A,Gain
the cost of an article was rs . 75 . the cost was first increased by 20 % and later on it was reduced by 20 % . the present cost of the article is :, rs . 72 , rs . 60 , rs . 75 , rs . 76 , none,A,Gain
"find the simple interest on rs . 64,000 at 16 2 / 3 % per annum for 9 months .", s . 8500 , s . 8000 , s . 7500 , s . 7000 , s . 6500,B,Gain
"population is 23000 . population increases by 10 % every year , then the population after 3 years is ?", 26630 , 26640 , 36623 , 30613 , 26820,D,Gain
the banker ' s gain on a bill due due 1 year hence at 12 % per annum is rs . 6.6 . the true discount is, rs . 72 , rs . 36 , rs . 55 , rs . 50 , none,C,Gain
fresh grapes contain 80 % by weight while dried grapes contain 20 % water by weight . what is the weight of dry grapes available from 40 kg of fresh grapes ?, 10 kg , 12 kg , 15 kg , 16 kg , 20 kg,A,Gain
fresh grapes contain 90 % by weight while dried grapes contain 20 % water by weight . what is the weight of dry grapes available from 5 kg of fresh grapes ?, 2 kg , 2.4 kg , 2.5 kg , 10 kg , 0.625,E,Gain
"a $ 500 investment and a $ 1,500 investment have a combined yearly return of 10 percent of the total of the two investments . if the $ 500 investment has a yearly return of 7 percent , what percent yearly return does the $ 1,500 investment have ?", 9 % , 10 % , 105 / 8 % , 11 % , 12 %,D,Gain
a certain sum is invested at simple interest at 15 % p . a . for two years instead of investing at 10 % p . a . for the same time period . therefore the interest received is more by rs . 840 . find the sum ?, s . 8400 , s . 9000 , s . 14000 , s . 17000 , s . 27000,A,Gain
"3 candidates in an election and received 1136 , 8236 and 11628 votes respectively . what % of the total votes did the winning candidate gotin that election ?", 40 % , 55.4 % , 57 % , 60 % , 62 %,B,Gain
"two men started from the same place walk at the rate of 10 kmph and 12 kmph respectively . what time will they take to be 20 km apart , if they walk in the same direction ?", 5 hours , 10 hours , 8 hours , 10 hours , 12 hours,B,Gain
"3 persons invested rs . 9000 in a joint business . the second person invested rs . 1000 more than the first and the third rs . 1000 more than second . after two years , they gained rs . 1800 . how much third person will get ?", 400 , 800 , 600 , 1200 , 1000,B,Gain
joe invested a certain sum of money in a simple interest bond whose value grew to $ 400 at the end of 3 years and to $ 500 at the end of another 5 years . what was the rate of interest in which he invested his sum ?, 4.76 % , 5.88 % , 6.33 % , 7.75 % , 8.33 %,B,Gain
"if 40 % of a number is greater than 80 % of 5 by 2 , what is the number ?", 3 , 15 , 20 , 2 , 5,B,Gain
"a japanese rock band made ¥ 3 million on their first album with sales of ¥ 12 million , and made ¥ 5 million on their second album with sales of ¥ 30 million . by approximately what percent did the ratio of profit to sales decrease from the first album to second album ?", 24 % , 27 % , 30 % , 33 % , 36 %,D,Gain
"in town x , 120 percent of the population are employed , and 80 percent of the population are employed males . what percent of the employed people in town x are females ?", 16 % , 25 % , 33 % , 40 % , 52 %,C,Gain
"sales price is $ 54 , gross profit is 125 % of cost , what is the value of gross profit ?", 32 , 30 , 39 , 40 , 42,B,Gain
"if 90 % of a = 30 % of b and b = c % of a , then the value of c is ?", 900 , 800 , 600 , 300 , none,D,Gain
uncle bruce is baking chocolate chip cookies . he has 36 ounces of dough ( with no chocolate ) and 20 ounces of chocolate . how much chocolate is left over if he uses all the dough but only wants the cookies to consist of 10 % chocolate ?, 18 , 20 , 16 , 22 , 24,C,Gain
a invested $ 15000 in a business after 6 months b invested $ 18000 in the business . end of the year if they got $ 16000 as profit . find b shares ?, $ 10000 , $ 12000 , $ 5000 , $ 6000 , $ 7500,D,Gain
"by selling 80 pens , a trader gains the cost of 20 pens . find his gain percentage ?", 25 % , 30 % , 35 % , 40 % , 50 %,A,Gain
what is 15 percent of 64 ?, 7.2 , 8.4 , 9.6 , 10.4 , 11.8,C,Gain
"a side of beef lost 50 percent of its weight in processing . if the side of beef weighed 750 pounds after processing , how many pounds did it weigh before processing ?", 191 , 355 , 737 , 840 ," 1,500",E,Gain
"in a certain business school class , p students are accounting majors , q students are finance majors , r students are marketing majors , and s students are strategy majors . if pqrs = 1365 , and if 1 < p < q < r < s , how many students in the class are marketing majors ?", 3 , 5 , 7 , 11 , 17,C,Gain
"a man has $ 10,000 to invest . he invests $ 4000 at 5 % and $ 3500 at 4 % . in order to have a yearly income of $ 500 , he must invest the remainder at", 6 % , 6.1 % , 6.2 % , 6.3 % , 6.4 %,E,Gain
"a glass was filled with 10 ounces of water , and 0.02 ounce of the water evaporated each day during a 30 - day period . what percent of the original amount of water evaporated during this period ?", 0.006 % , 0.06 % , 6 % , 2 % , 60 %,C,Gain
"in country z , 10 % of the people do not have a university diploma but have the job of their choice , and 30 % of the people who do not have the job of their choice have a university diploma . if 40 % of the people have the job of their choice , what percent of the people have a university diploma ?", 35 % , 48 % , 55 % , 65 % , 75 %,B,Gain
"a , b and c started a partnership business by investing rs . 27000 , rs . 72000 , rs . 81000 respectively . at the end of the year , the profit were distributed among them . if c ' s share of profit is 36000 , what is the total profit ?", 70000 , 60000 , 80000 , 90000 , 50000,C,Gain
"12 is subtracted from 95 % of a number , the result is 178 . find the number ?", 200 , 240 , 198 , 190 , 322,A,Gain
"a library branch originally contained 18360 volumes , 30 % of which were fiction novels . 1 / 4 of the volumes were transferred to another location and 1 / 3 of the volumes transferred were fiction novels . what percent of the remaining collection was fiction novels ?", 2.5 % , 17.67 % , 28.8 % , 45.2 % , 73.6 %,C,Gain
"if a book is sold at 5 % profit instead of 5 % loss , it would have brought rs 13 more . find out the cost price of the book", 75 , 72 , 130 , 70 , 80,C,Gain
"on rainy mornings , mo drinks exactly n cups of hot chocolate ( assume that n is an integer ) . on mornings that are not rainy , mo drinks exactly 4 cups of tea . last week mo drank a total of 26 cups of tea and hot chocolate together . if during that week mo drank 14 more tea cups than hot chocolate cups , then how many rainy days were there last week ?", 2 , 3 , 4 , 5 , 6,A,General
the value of ( 0.2 × 0.2 + 0.01 ) ( 0.1 × 0.1 + 0.02 ) - 1 is equal to, 5 / 3 , 9 / 5 , 41 / 4 , 41 / 12 , none,A,General
4685 * 999, 4680250 , 4685850 , 4680315 , 4685975 , none of these,C,General
find the average of all numbers between 5 and 37 which are divisible by 4, 25 , 20 , 45 , 30 , 35,C,General
"4 , 10 , ( ? ) , 82 , 244 , 730", 26 , 24 , 40 , 48 , 28,E,General
what is the remainder when the number y = 14 ^ 2 * 15 ^ 8 is divided by 5 ?, 0 , 1 , 2 , 4 , 5,A,General
"if the median of a list of numbers is m , the first quartile of the list is the median of the numbers in the list that are less than m . what is the first quartile of the list of numbers 42 , 23 , 30 , 22 , 26 , 19 , 33 and 35 ?", 33 , 28 , 22.5 , 24 , 23,C,General
"if the product of the integers from 1 to n is divisible by 1029 , what is the least possible value of n ?", 7 , 14 , 21 , 28 , 35,C,General
"what is the average ( arithmetic mean ) of the numbers 16 , 17 , 18 , 19 and 20 ?", 14.2 , 16.5 , 17 , 17.5 , 18,E,General
"if a ( a - 6 ) = 27 and b ( b - 6 ) = 27 , where a ≠ b , then a + b =", − 48 , − 2 , 6 , 46 , 48,C,General
"if f ( x ) = 12 - x ^ 2 / 2 and f ( 2 k ) = 3 k , what is one possible value for k ?", 2 , 3 , 4 , 6 , 8,B,General
what is the sum of the greatest common factor and the lowest common multiple of 36 and 16 ?, 148 , 210 , 314 , 320 , 344,A,General
the sum of present age of abe and the age before 7 years is 29 . find the present age of abe . what will be his age after 7 years ?, 25 , 26 , 27 , 28 , 29,A,General
"two employees x and y are paid a total of rs . 638 per week by their employer . if x is paid 120 percent of the sum paid to y , how much is y paid per week ?", s . 250 , s . 280 , s . 290 , s . 299 , s . 300,C,General
80 370 860 1550 ? 3530, 900 , 2440 , 750 , 244 , 960,B,General
"in a house , there are 4 birds , 3 dogs , and 18 cats living with the human family . if the total number of feet in the house are 74 more than the number of heads in the house , how many family members are there ?", 1 , 3 , 5 , 7 , 9,D,General
"in a renowned city , the average birth rate is 7 people every two seconds and the death rate is 3 people every two seconds . estimate the size of the population net increase that occurs in one day ."," 172,700 "," 172,800 "," 172,900 "," 173,000 "," 173,100",B,General
"the cost of registration at a professional association meeting was $ 50 per person ; a lunch for registrants only was available for an additional $ 22 per person . if the number of registrants who paid for lunch was 50 more than the number who did not , and if receipts for registration and lunch totaled $ 82,900 , how many people paid just for registration at the meeting ?", 700 , 650 ," 1,300 "," 1,500 "," 1,800",B,General
"paul ' s income is 40 % less than rex ' s income , quentin ' s income is 20 % less than paul ' s income , and sam ' s income is 40 % less than paul ' s income . if rex gave 60 % of his income to paul and 40 % of his income to quentin , quentin ' s new income would be what fraction of paul ' s new income ?", 11 / 12 , 13 / 17 , 22 / 30 , 12 / 19 , 11 / 19,C,General
"louie takes out a 3 - month loan of $ 2000 . the lender charges him 10 % interest per month compounded monthly . the terms of the loan state that louie must repay the loan in 3 equal monthly payments . to the nearest dollar , how much does louie have to pay each month ?", a ) 333 , b ) 383 , c ) 402 , d ) 433 , e ) 804,E,General
"a certain car traveled twice as many miles from town a to town b as it did from town b to town c . from town a to town b , the car averaged 20 miles per gallon , and from town b to town c , the car averaged 25 miles per gallon . what is the average miles per gallon that the car achieved on its trip from town a through town b to town c ?", 20 , 18 , 21.4 , 16 , 10,C,General
"if | 5 x - 30 | = 100 , then find the sum of the values of x ?", 1 , - 2 , 12 , - 3 , 4,C,General
"in a class of 20 students , 3 students did not borrow any books from the library , 9 students each borrowed 1 book , 4 students each borrowed 2 books , and the rest borrowed at least 3 books . if the average number of books per student was 2 , what is the maximum number of books any single student could have borrowed ?", 13 , 14 , 15 , 16 , 17,B,General
"there are 60 supermarkets in the fgh chain . all of them are either in the us or canada . if there are 22 more fgh supermarkets in the us than in canada , how many fgh supermarkets are there in the us ?", 20 , 31 , 41 , 53 , 64,C,General
( 0.0077 ) ( 3.6 ) / ( 0.04 ) ( 0.1 ) ( 0.007 ) =, 0.099 , 0.0099 , 9.9 , 990 , 99,D,General
"for integers x , y , and z , if ( 3 ^ x ) ( 4 ^ y ) ( 5 ^ z ) = 13107 , 200000 and x + y + z = 16 , what is the value of xy / z ?", undefined , 0 , 3 , 5 , 7,B,General
the average score of a cricketer in 2 matches is 20 and in other 3 matches is 30 . then find the average score in all the 5 matches ?, 26 , 27 , 30 , 35 , 42,A,General
3034 - ( 1002 / 20.04 ) = ?, 2984 , 2983 , 2982 , 2981 , none of these,A,General
calculate 469138 x 9999 = ?, 4586970843 , 4686970743 , 4690910862 , 4586870843 , none,C,General
"tough and tricky questions : word problems . mike , sarah and david decided to club together to buy a present . each of them gave equal amount of money . luckily sarah negotiated a 20 % discount for the present so that each of them paid 4 dollars less . how much did they pay for a present ?", 20 , 36 , 48 , 60 , 72,C,General
"two employees x and y are paid a total of rs . 500 per week by their employer . if x is paid 120 percent of the sum paid to y , how much is y paid per week ?", s . 227 , s . 287 , s . 297 , s . 300 , s . 380,A,General
? x 40 = 173 x 240, 545 , 685 , 1038 , 495 , 534,C,General
"in the rectangular coordinate system , what is the x - intercept of a line passing through ( 10 , 3 ) and ( − 10 , − 7 ) ?", 4 , 2 , 0 , − 2 , − 4,A,General
"a student chose a number , multiplied it by 4 , then subtracted 142 from the result and got 110 . what was the number he chose ?", 58 , 59 , 60 , 62 , 63,E,General
the product of two successive numbers is 9506 . which is the smaller of the two numbers ?, 78 , 68 , 88 , 97 , 37,D,General
"if d is the standard deviation a , b , and c , what is the standard deviation of a + 2 , b + 2 , c + 2 ?", 2 d , d , 2 d + 2 , 8 d , 2 d + 4,B,General
"the instructions state that cheryl needs 4 / 9 square yards of one type of material and 2 / 3 square yards of another type of material for a project . she buys exactly that amount . after finishing the project , however , she has 8 / 18 square yards left that she did not use . what is the total amount of square yards of material cheryl used ?", 1 / 12 , 1 / 9 , 2 / 3 , 1 1 / 9 , 2 1 / 9,C,General
by how much is 12 % of 24.2 more than 10 % of 14.2 ?, 0.1484 , 14.84 , 1.484 , 2.762 , none,C,General
50 ^ 51 ^ 52 / 11, 6 , 4 , 7 , 3 , 5,A,General
0.009 / x = 0.05 . find the value of x, 0.00018 , 0.09 , 0.018 , 0.18 , 90,D,General
"alex has to take a quiz , which has 10 true false - type question each carry 1 mark . what is the probability that alex ' s can score more than 8 mark in the quiz . given that he decides to guess randomly on the quiz .", 12 / 1024 , 11 / 1024 , 11 / 256 , 12 / 256 , 14 / 256,B,General
"a line that passes through ( – 1 , – 4 ) and ( 4 , k ) has a slope = k . what is the value of k ?", 3 / 4 , 1 , 4 / 3 , 2 , 7 / 2,B,General
"if p # q denotes the least common multiple of p and q , then q = ( ( 12 # 16 ) # ( 18 # 24 ) ) = ?", 216 , 180 , 144 , 108 , 72,C,General
"a man can swim in still water at 4 km / h , but takes twice as long to swim upstream than downstream . the speed of the stream is ?", 1.7 , 1.9 , 1.1 , 1.5 , 0.75,E,General
the average weight of 10 person ' s increases by 2.5 kg when a new person comes in place of one of them weighing 65 kg . what is the weight of the new person ?, 75 kg , 50 kg , 85 kg , 90 kg , 60 kg,D,General
"two employees x and y are paid a total of rs . 590 per week by their employer . if x is paid 120 percent of the sum paid to y , how much is y paid per week ?", s . 268 , s . 288 , s . 298 , s . 300 , s . 388,A,General
"what is the smallest number which when diminished by 10 , is divisible 2 , 6 , 12 and 24 ?", 35 , 34 , 20 , 35 , 342,B,General
"when 6 + 2 = 85 , 8 + 3 = 115 , 7 + 5 = 125 , then 5 + 8 = ?", 145 , 185 , 245 , 135 , 140,D,General
in a mixture of 45 litres the ratio of milk to water is 4 : 1 . additional 21 litres of water is added to the mixture . find the ratio of milk to water in the resulting mixture ., 2 / 1 , 4 / 1 , 6 / 5 , 3 / 4 , 3 / 2,C,General
"in a certain supermarket , a triangular display of cans is arranged in 10 rows , numbered 1 through 10 from top to bottom . each successively numbered row contains 3 more cans than the row immediately above it . if there are fewer than 150 cans in the entire display , how many cans are in the fifth row ?", 10 , 11 , 13 , 14 , 16,C,General
"if the price of a book is first decreased by 25 % and then increased by 20 % , then the net change in the price will be :", 10 , 388 , 37 , 29 , 22,A,General
x varies inversely as square of y . given that y = 2 for x = 1 . the value of x for y = 6 will be equal to ?, 1 / 6 , 1 / 3 , 1 / 0 , 1 / 9 , 1 / 5,D,General
"in a college , 280 students study hindi , 254 students study sanskrit and 280 students study english . 97 students study hindi as well as physics , 138 students study sanskrit as well as english and 152 students study hindi as well as english . 73 students study all the 3 languages . how many total number of students are there in that college ?", 350 , 500 , 650 , 235 , 450,B,General
the average weight of 8 person ' s increases by 2.5 kg when a new person comes in place of one of them weighing 70 kg . what is the weight of the new person ?, 90 , 65 , 85 , 95 , 80,A,General
"ashok secured average of 77 marks in 6 subjects . if the average of marks in 5 subjects is 74 , how many marks did he secure in the 6 th subject ?", 38 , 27 , 92 , 17 , 80,C,General
"a cab driver 5 days income was $ 400 , $ 250 , $ 650 , $ 400 , $ 500 . then his average income is ?", $ 400 , $ 420 , $ 440 , $ 460 , $ 480,C,General
if 60 % of ( x - y ) = 30 % of ( x + y ) then what percent of x is y ?, 33 % , 10 % , 5 % , 15 % , 25 %,A,General
what is the least integer that is a sum of 4 different prime numbers each greater than 10 ?, 60 , 62 , 64 , 66 , 68,A,General
"of the female students at barkely university , 1 / 6 are on the honor roll . of the male students , 2 / 5 are on the honor roll . if 3 / 5 of the students are female , what fraction of all the students are on the honor roll ?", 5 / 9 , 3 / 15 , 26 / 100 , 43 / 60 , 53 / 90,C,General
"the average of 11 numbers is 9.9 . if the average of the first 6 numbers is 10.5 and that of the last 6 numbers is 11.4 , then the middle number is", 71.5 , 11.5 , 81.5 , 11.5 , 22.5,E,General
"a ’ s speed is 17 / 15 times that of b . if a and b run a race , what part of the length of the race should a give b as a head start , so that the race ends in a dead heat ?", 1 / 16 , 2 / 15 , 2 / 17 , 1 / 8 , 1 / 7,C,General
x varies inversely as square of y . given that y = 2 for x = 1 . the value of x for y = 6 will be equal to :, 1 / 2 , 1 / 3 , 1 / 5 , 1 / 9 , 1 / 3,D,General
"what is the average ( arithmetic mean ) of the numbers 16 , 17 , 17 , 18 , 19 , 19 and 20 ?", 18 , 17 , 16 , 15 , 19,A,General
"if a ( a + 2 ) = 35 and b ( b + 2 ) = 35 , where a ≠ b , then a + b =", - 5 , - 6 , - 7 , - 2 , - 10,D,General
"how many positive integers less than 25 are prime numbers , odd multiples of 5 , or the sum of a positive multiple of 2 and a positive multiple of 4 ?", 27 , 25 , 24 , 22 , 20,E,General
