Question,A,B,C,D,E,Correct Option
James was driving away from work. He slid into the outside lane.  Up ahead he would have to do what?,take u turn,turn left,crash,turn right,get to town,D
Where is a stool likely to be found?,internet cafe,blacksmith's shop,office,bar,building,D
Where do you keep a credit card?,purse,envelope,resturant,wakket,wallet,E
Spending time seeing artifacts listening to museum lectures will lead to what?,thinking,learning,angry,archeology,pleasure,B
How might an unhappy person try to end their suffering?,going to the doctor,further cause,attempt suicide,wave goodbye,thank god,C
What is someone with courage in a surprising situation not likely to feel?,fight,shocked,humor,nervous,frightened,E
During what could you hear a viola along with many other types of instruments?,viola case,concert,orchestra,symphony,string quartet,D
If you're getting drunk while in public you are likely where?,jail,gutter,city hall,park,bar,E
When you meet interesting people your contacts list is likely to do what?,remember names,grow,friendly,cordial,friendship,B
If I want to buy a lot of crab for dinner what sort of specialty location might I visit?,chesapeake bay,tidepools,hotels markets,fish market,beach sand,D
What is the closest place to eat when you are not out on the town?,serving drinks,food court,shopping center,own house,downtown,D
What's another name for cargo?,aeroplane,boat,giftwrap,hiding in,ship's hold,E
"He often got thirsty at night and needed a drink, so he always had a night table everywhere he had lived in all his what?",furniture store,life,hallway,hotel,homes,E
"The sloppy dad saw the random stuff in the kitchen, and didn't know where to put it, where did he decide to place it?",anything,cupboard,michigan,table,cabinet,E
Where could you find millions of ficus?,arboretum,california,teapot,apartment,ground,B
"When a person is on trial for killing, what is a jury likely to decide?",execution,investigation,going to jail,retribution,punishment,E
Where is a good place to keep a wagon meant for work?,garage,kitchen cabinet,backyard,field,toy store,A
What does the first person in a group of people to have a child often feel like doing?,love,give birth,having fun,anxiety,making new friends,E
What would a parent do if their child never goes outside or sees other people?,close box,homeschool,cry a lot,call child,experience fear,B
"The old man would be stuck staying in bed, part of the nurse's job was to move him so he wouldn't get what?",bed sores,missing out,nervous,comfort,resting,A
What do humans do when in a race?,lay eggs,eat fruit,wrestle,compete with each other,draw pictures,D
"When one is looking at a series of attributes, how are they typically displayed?",on-screen,calculus,description,array,calculas,D
What can a vehicle do to groceries?,eat,feel impact of accident,slow down,carry,travel,D
Sarah didn't own a computer or a monitor.  Instead she just used something connected to her TV.  How would she describe the thing connected to her TV?,box,internet cafe,view bluescreen,desktop,display images,A
Where would you get maps if you do not have them and want to keep them?,guide drivers,library,bookstore,cabinet,drawer,C
"If you are chewing food, what broader activity would you be participating in?",grinding food,avoiding choking,eating,good digestion,sore mouth,C
Where would you store a stack of paper when not immediately needed?,notebook,cabinet,classroom,suitcase,portfolio,B
What happens after an extended amount of living for a person?,getting old,palpitations,death,perspiration,make friends,A
"The person enjoyed the takeout, but he felt there was too many vegetables and wanted what?",warm coat,more rice,compliments,read book,to eat less cereal.,B
"Everyone feels a little lost sometimes, they just need someone to listen and to be what?",accepted,understood,happy,happiness,victory in war,B
"A common saying, Sam thought, was to go forth, also this.",reverse,backwards,back and,back and,tally back,D
"The peanuts were sealed for freshness, so where were they placed?",jar,peanut shells,carnival,ballpark,bought at grocery store,A
What do all rooms facing outside have?,square shape,different sizes,flowers,doors and windows,high walls,D
In American it is possible for someone to grow up poor and end up what?,rich,good,being rich,adequate,famous,A
Who is it important to pay attention to when attending school?,falling down,time,stupidity,teachers,patience,D
Where are you if you open the night table drawer to find a bible placed by the gideons?,hallway,homes,furniture store,holding alarm clock,hotel,E
How do you feel if you overindulge when eating breakfast?,gas,fullness,gain energy,stomachache,indigestion,B
