Question,A,B,C,D,Correct Option,Subject,GPT-3.5,GPT-4
A patient on aspirin for long period is selected for an elective surgery. What should be done,Stop aspirin for 7days,Infusion of fresh frozen plasma,Infusion of platelet concentration,Go ahead with surgry maintaining adequate hemostasis,D,Anaesthesia,D,A
Which of the following anesthetic is safe in heart failure -,Etomidate,Propofol,Thiopentone,Ketamine,A,Anaesthesia,B,A
Percentage of lidocaine in Eutectic mixture -,1%,2.50%,5%,10%,B,Anaesthesia,C,D
Muscle rigidity is caused by which anaesthetic,Halothane,Ether,Sevoflurane,Alfentanil,D,Anaesthesia,A,A
The major disadvantage of pressure control ventilation(PCV) is-,Variable alveolar volume when lung compliance decreases,Patient discomfo,Barotrauma,Controlled peak alveolar pressure,A,Anaesthesia,A,A
Inner diameter of adult male endotracheal tube is,2 mm,4 mm,6 mm,9 mm,D,Anaesthesia,C,D
"85 yr old man with carcinoma bronchus is given general anesthesia for an emergency laparotomy, post operatively neuromuscular monitoring shows delayed recovery; most probable cause is",Intracerebral bleed,Myasthenic syndrome,Ventilation perfusion mismatch,Blood loss,B,Anaesthesia,B,B
Murphy's eye is pa of which of the following devise:-,Endotracheal tube,Laryngeal mask airway,Anesthesia face mask,Mapleson circuit,A,Anaesthesia,B,A
Which is wrong regarding somato sensory evoked potentials (SSEP)?,Can be used intraoperatively inside OT,Can be used to monitor CNS during intracranial surgery,Can be used during spinal cord surgery to detect spinal cord damage,Is contraindicated under general anaesthesia,D,Anaesthesia,A,D
Which of the following inhalational agent causes maximum increase in intracranial pressure (ICP).,Halothane,Isoflurane,Sevoflurane,Desflurane,A,Anaesthesia,A,A
Depolarising muscle relaxant?,Scoline,Atracurium,Pancuronium,Cisatracurium,A,Anaesthesia,A,A
Spinal anaesthesia in children is given at which level,L1-L2,L2-L3,L3-L4,L4-L5,D,Anaesthesia,C,C
Compression depth in CPR in Adults is?,1 inch,2 inch,3 inch,4 inch,B,Anaesthesia,B,B
Muscle relaxant associated with increased ICP is?,Mivacurium,Atracurium,Suxamethonium,Vecuronium,C,Anaesthesia,A,C
Which of the following is most sensitive to the inhibition by local anesthetics -,B fibre,Dorsal root,As,Aa,A,Anaesthesia,A,A
Venous Air Embolism is common in which position,Sitting,Supine,Prone,Left lateral,A,Anaesthesia,A,A
"A 65-year-old man undergoes a low anterior resection for rectal cancer. On the fifth day in hospital, his physical examination shows a temperature of 39degC (102degF), blood pressure of 150/90 mm Hg, pulse of 110 beats per minute and regular, and respiratory rate of 28 breaths per minute. A computed tomography (CT) scan of the abdomen reveals an abscess in the pelvis. Which of the following most accurately describes his present condition?",Systemic inflammatory response syndrome (SIRS),Sepsis,Severe sepsis,Septic shock,B,Anaesthesia,D,B
Ketamine acts an which receptor,GABAA,GABAB,NMDA,Glutamate,C,Anaesthesia,A,A
Second gas effect is seen with,Ether,Nitrous oxide,Halothane,Isoflurane,B,Anaesthesia,D,B
"A 10-year old child is undergoing squint surgery. He suddenly developed increased hea rate, arrhythmia, high fever, metabolic and respiratory acidosis on aerial blood gases and elevation of end-tidal CO2. Which of the following would be the first agent of choice in the management of thiscondition?",Dantrolene,Paracetamol,Procainamide,Sodium bicarbonate,A,Anaesthesia,A,A
PA view of chest X-ray is given here. What is the diagnosis?,Right Pneumothorax with right tracheal shift,Right Pneumothorax with left tracheal shift,Left Pneumothorax with left tracheal shift,Left Pneumothorax with right tracheal shift,B,Anaesthesia,C,A
The bronchoscope is best sterilized with,Ethylene oxide,2% Glutaraldehyde,Betadine,Infrared radiation,B,Anaesthesia,A,B
Atracurium is metabolized and excreted by,Kidney,Liver,Brain,Hoffman's elimination,D,Anaesthesia,B,D
Patient on oral lithium therapy. How many ours prior to surgery we stop lithium-,24 hrs,48 hrs,72 hrs,96 hrs,A,Anaesthesia,B,A
Cis atracurium is preferred over atracurium due to advantage of,Rapid onset,Sho duration of action,No histamine release,Less cardiodepressant,C,Anaesthesia,C,C
A person was given a muscle relaxant that competitively blocks nicotinic receptors. Which of the following drugs is used for reversal of muscle relaxation after surgery?,Neostigmine,Carbachol,Succinylcholine,Physostigmine,A,Anaesthesia,A,A
Which is wrong regarding EMLA cream,It is eutectic mixture of local anesthetics,Requires 5% Lignocaine and 5% Prilocaine to make it.,Ratio of Lignocaine to Prilocaine is 1:2,Applied over skin surface,C,Anaesthesia,B,C
The Anaesthesia technique of choice in severely preeclamptic women for cesarean delivery -,Spinal Anaesthesia,Epidural Anaesthesia,General Anaesthesia,Pudendal shock,B,Anaesthesia,A,A
Antibiotic potentiating the effect of NM blocker-,Erythromycin,Aminoglycoside,Co-trimoxazole,Nitrofurantoin,B,Anaesthesia,A,A
Which of the following tube has high pressure - low volume cuff-,Red rubber tube,RAE tube,Laser tube,Microlaryngeal tube,C,Anaesthesia,A,D
Anesthetic agent contraindicated in acute hepatitis is?,Sevoflurane,Halothane,Ketamine,Isoflurane,B,Anaesthesia,B,B
Which intravenous anaesthetic can be used for upper airway manipulation in absence of neuromuscular blockers-,Thiopentone,Propofol,Etomidate,Ketamine,B,Anaesthesia,B,D
Sodium Thiopentone is ultra sho acting d/t,Rapid absorption,Rapid metabolism,Rapid redistribution,Rapid excretion,C,Anaesthesia,C,C
Interscalene approach to brachial plexus block does not provide optimal analgesia in the area of distribution of which of the following nerves?,Musculocutanoeus nerve,Ulnar nerve,Radial nerve,Median nerve,B,Anaesthesia,B,B
Depth of anaesthesia can be best assessed by,Pulse oximeter,End tidal Pco2,ABG analysis,Bispectral index,D,Anaesthesia,B,B
The most common side effect of neuraxial opioid is:,Nausea & vomiting,Pruritus,Urinary retention,Sedation,B,Anaesthesia,B,B
Which of the following is not a role of PEEP,Improves oxygenation,Decreases cardiac output,Decreases atelectasis,Decreases the risk of pneumothorax,D,Anaesthesia,B,B
In a patient with severe aoic Stenosis which of the following anesthetic techniques is least preferred:,Propofol induction,Etomidate induction,Spinal anesthetic with 15 mg bupivacaine,Epidural anesthesia with 2 % lidocaine,C,Anaesthesia,A,C
Which of the following intravenous anaesthetic agent causes decrease in postoperative nausea and vomiting :,Propofol,Thiopentone,Etomidate,Ketamine,A,Anaesthesia,A,A
Which anesthetic has a maximum MAC?,Nitrous oxide,Halothane,Desflurane,Isoflurane,A,Anaesthesia,D,A
Which of the following inhalational general anaesthetic can cause laryngospasm:,Halothane,Nitrous oxide,Desflurane,Enflurane,C,Anaesthesia,A,A
The gold standards for confirmation of placement of Endotracheal tube is-,Capnography,Visualization of the chest excursion,Auscultation,Ultrasound,A,Anaesthesia,A,A
Which of the following is the first treatment for an anesthetized patient experiencing bronchospasm,Administer inhalational beta-2 agonists,Administer intravenous epinephrine,Administer additional anesthetic,Administer neuromuscular blocking agent,C,Anaesthesia,A,A
Shifting patient from assisted ventilation to voluntary ventilation which of the following shows failure?,O2 saturation <80%,PEEP <5cms,RR <35 mins,Tidal volume >5 ml/kg,A,Anaesthesia,A,A
Which anaesthetic agent can have teratogenic effect?,N2O,Halothane,Isoflurane,Desflurane,A,Anaesthesia,B,A
Percentage of thiopentone used for induction is,0.50%,1.50%,2.50%,4.50%,C,Anaesthesia,B,C
"""Dissociate anaesthesia"" is seen with?",Propofol,Ketamine,Thiopental,Halothane,B,Anaesthesia,A,B
Surest indicator of reversal of anaesthesia is,Head lift for 5 seconds,Hand grip for 5 seconds,TOF > 0.9,Tongue depression,A,Anaesthesia,C,C
Which of the following agent is associated with maximum histamine release?,d-Tubocurarine,Cisatracurium,Pancronium,Rocuronium,A,Anaesthesia,A,A
Fasciculation are caused by,Suxamethonium,Pancuronium,d-TC,Vecuronium,A,Anaesthesia,A,A
Pin code index of N2O is-,"1,6","2,5","2,6","3,5",D,Anaesthesia,C,C
Which of the following is shortest acting non depolarizing Muscle Relaxant:,Vecuronium,Mivacurium,Succinylcholine,Atracrium,B,Anaesthesia,B,B
Which of the following muscle relaxants is free of cardiovascular effects over the entire clinical dose range,Pancuronimum,Vecuronium,Atracurium,Pipecuronium,B,Anaesthesia,B,B
Bupivacaine toxicity leads to?,Cardiac toxicity,Neural toxicity,Renal toxicity,Hepatic toxicity,A,Anaesthesia,A,A
Inhalational anesthetic that can be used for induction:,Sevoflurane,Desflurane,Enflurane,Nitrous oxide,A,Anaesthesia,A,A
Physical law made use in flow meter is:-,Henrys law,Grahams law,Daltons law,Faraday'slaw,D,Anaesthesia,C,D
Name the given device :,Automated External Desynchonizer,Automated External decompressor,Manual external defibrillator,Automated External Defibrillator,D,Anaesthesia,A,A
In Bier's block anaesthetic agent given by which route,Intravenous,Peribulbar region,Retrobulbar area,Dermal,A,Anaesthesia,C,A
Inducing agent of choice in DIC,Thiopentone,Ketamine,Methohexitone,Propofol,B,Anaesthesia,D,D
Which of the following nerves are affected after Spinal anaesthetic block?,Motor and sensory nerve only,Sensory and autonomic nerve only,Sensory nerves only,"Sensory, autonomic, and motor nerves",D,Anaesthesia,D,D
Which of the following is nephrotoxic,Halothane,Methoxyflurane,Ether,Cyclopropane,B,Anaesthesia,B,B
Ayer's T Piece is:,Mapelson A circuit,Mapelson B circuit,Mapelson D circuit,Mapelson E circuit,D,Anaesthesia,B,A
Malignant hyperthermia is caused due to which of the following mechanism?,Increased intracellular Na,Decreased intracellular chlorine,Increased intracellular Ca,Increased serum K,C,Anaesthesia,C,C
Ketamine is useful as an anesthetic agent in -,Ischemic heart disease,Intracranial hemorrhage,Hyperactive airways,Glaucoma,C,Anaesthesia,C,A
Capnography is used for assessment of,Oxygen saturation of blood,Amount of CO2 transpoed in blood,Ventilation of lung after intubation,Myocardial perfusion,C,Anaesthesia,A,C
Fastest acting nondepolarizing neuromuscular blocker-,Rocuronium,Pancuronium,Succinylcholine,Mivacurium,A,Anaesthesia,C,A
The most appropriate inhalational agent for pediatric patients,Sevoflurane,Desflurane,Isoflurane,Halothane,A,Anaesthesia,A,A
Crura of penis is supplied by -,Dorsal artery of penis,Deep artery of penis,External pudendal artery,Obturator artery,B,Anatomy,B,B
which is the strongest layer of oesophagus?,mucosa,sub mucosa,muscularis propria,adventitia,B,Anatomy,C,C
Placenta develops from,Decidua capsularis and Chorion frondosum,Decidua capsularis and Decidua basalis,Decidua basalis and Chorion frondosum,Decidua parietalis and Chorion frondosum,C,Anatomy,B,C
"A spos-person presents with laceration of wrist but with no vascular injury. On examination, a structure lateral to flexor digitorum superficialis is found to be injured. What action he most likely cannot perform (JIPMER May 2019)",Abduction of 2nd digit,Adduction of 2nd digit,Opposition of thumb,Flexion of thumb,C,Anatomy,C,C
Insertion of levator scapulae is-,Lateral border of scapula,Suprolateral part of scapula,Superior part of medial scapula border,Inferior angle of scapula,C,Anatomy,C,C
Which of the following has fibromuscular stroma ?,Testis,Liver,Prostate,Urinary bladder,C,Anatomy,C,C
Earliest lesion seen in asbestosis is,A. Pleura plaques,B. Hilar lymphadenopathay,C. Adenoma lung,D. Mesothelioma,A,Anatomy,A,A
Palatopharyngeus is supplied by which nerve?,Vagus,Cranial accessory,Hypoglossal,Spinal accessory,B,Anatomy,A,A
Abduction of Hand is caused by,FCR,FCU,FDP,FDS,A,Anatomy,B,A
Red velvety appearance of stomach and crimson plus of lower esophagus seen in which poisoning,Mercury,Zinc,Lead,Arsenic,D,Anatomy,A,A
Occupational lung disease commonly seen in Textile industry workers is,Byssinosis,Bagassosis,Farmers lung,Asbestosis,A,Anatomy,A,A
independent assoment of chromosomes occurs at which level ?,primordial germ cells to spermatogonia,spermatogonia to primary spermatocytes,primary spermatocytes to secondary spermatocytes,secondary spermatocytes to spermatids,C,Anatomy,C,C
Froment signs are positive in injury of which nerve,Median,Ulnar,Radial,Musculocutaneous nerve,A,Anatomy,B,B
The main danger with low tension alternating current is,Myoglobinuria,Cardiac arrest,Renal failures,Burns,B,Anatomy,B,B
"On an angiography of 55 year old male , blockade of right coronary aery is seen , leading to myocardial infarction . Which of the following structures may have oxygen deficiency ?",Right atrium,Sinoatrial (SA) node,Atrioventricular (AV) node,Apex of the hea,C,Anatomy,A,A
A carbuncle is best treated by,Antibiotics alone,Incision and drainage,Conservative management,Cruciate incision and deroofing,B,Anatomy,B,B
Deep flexors of forearm are supplied by,Median nerve,Ulnar nerve,Radial nerve,Musculocutaneous nerve,B,Anatomy,B,A
Ear ossicles aiculate with each other through which type of joints?,Synostosis,Synol,Synchondrosis,Syndesmosis,B,Anatomy,C,A
Ligamentum teres is the remnant of,Umbilical vein,Portal vein,Ductus venosus,Umbilical artery,A,Anatomy,C,A
"A patient received a severe blow to the lateral side of the head, resulting in an epidural hematoma. Which of the following blood vessels was most likely torn?",Anterior cerebral aery,Middle cerebral aery,Middle meningeal aery,Superficial temporal aery,C,Anatomy,C,C
The most abundant glycoproteins present in basement membrane is,Laminin,Fibronectin,Collagen type 4,Heparan sulphate,A,Anatomy,A,A
Which foot bone does not have any muscle attachment?,Talus,Calcaneum,Navicular,1st metatarsal,A,Anatomy,A,A
Median survival in carcinoma pancreas after surgery and adjuvant therapy,12 months,22 months,32 months,44 months,B,Anatomy,B,B
Purkinje cells from the cerebellum end in,Cerebral coex,Cerebellar nuclei,Cranial nerve nuclei,Extrapyramidal system,B,Anatomy,B,B
"A 3-month-old female infant is diagnosed with anal stenosis after several periods of stool infrequency, two of which lasted 10 days without a bowel movement. Which of the following is the most likely cause of this condition?",Incomplete separation of the cloaca by the urorectal septum,Dorsal deviation of the urorectal septum,Failure of the anal membrane to perforate,Abnormal recanalization of the colon,B,Anatomy,C,C
What is seen earliest in USG?,Yolk sac,Fetal hea,Chorion,Placenta,A,Anatomy,A,A
Roof of the Anatomical snuff box is formed by the,Radial aery,Basilic aery,Sup branch of radial nerve,Sup branch of ulnar nerve,C,Anatomy,A,A
which of the following is a tri cyclic antidepressant,amitryptilline,fluoxetine,trazadone,bupropion,A,Anatomy,A,A
"A 30 year old female comes with acute breathlessness, neck vein distension and absent breath sounds and mediastinal shift. Which of the following should be done immediately.?",HRCT is the investigation of choice,ABG analysis should be done,CXR,large bore needle punture of pleura,D,Anatomy,D,D
Ligamentum teres hepatis is developed from -,Umbilical arteries,Left umbilical vein,Ductus-venosus,Ductus arteriosus,B,Anatomy,B,B
Inonizing radiation affects which stage of cell cycle,G2S,G1G2,G2M,G0G1,C,Anatomy,C,C
Which of the following tongue muscle is supplied by the Cranial root of accessory nerve?,Palatoglossus,Hyoglossus,Styloglossus,Genioglossus,A,Anatomy,A,A
Dermatome of UMBILICUS is:,T10,L2,L3,L4,A,Anatomy,A,A
metabolic syndrome is a side effect of,clozapine,aripiprazole,topiramate,ziprasidone,A,Anatomy,A,A
"Which of the following, among axillary lymph nodes, is a terminal group",Pectoral,Central,Lateral,Apical,D,Anatomy,A,A
Nutrient aery supplying the bone enters from which end,Away from the growing end,Towards the growing end,No fixed entry point,Metaphyseal end,A,Anatomy,B,D
Action of superior oblique is:,"Elevation, Intortion, Adduction","Depression, Intortion, Adduction","Elevation, Intortion, Abduction","Depression, Intortion, Abduction",D,Anatomy,A,A
Which of the following passes through the foramen Magnum ?,veebral aery,sympathetic chain,internal carotid aery,XI cranial nerve,A,Anatomy,D,A
Selective beta 2 agonist is,Isoprenaline,Pirbuterol,Dobutamine,Mirabegron,B,Anatomy,B,B
"In Erb-Duchene paralysis, the injury is limited to the",2nd and 3rd cervical nerves,3rd and 4th cervical nerves,4th and 5th cervical nerves,5th and 6th cervical nerves,D,Anatomy,C,D
Not included in the type-I nutrient element,Mg,Ca,Zn,K,C,Anatomy,A,C
"A young patients presented with loss of sensation in sloe of foot with paralysis of medial side of plantar muscles of the foot, Most likely nerve involvement is",Common peroneal nerve,Deep peroneal nerve,Superficial peroneal nerve,Tibial nerve,D,Anatomy,D,D
Ferruginous bodies are seen in:,Silicosis,Byssinosis,Asbestosis,Bagassosis,C,Anatomy,A,A
When nitrates are combined with Calcium channel blockers,Aerial pressure will decrease,Hea rate will increase,Ejection time will decrease,End diastolic volume will increase,A,Anatomy,D,A
Which of the following terms best describes a drug that blocks the action of adrenaline at its receptors by occupying those receptors without activating them,Pharmacological antagonist,Non competitive antagonist,Psychological antagonist,Chemical antagonist,A,Anatomy,B,A
Which bony structure protects the middle meningeal artery?,Nasion,Pterion,Bregma,Occiput,B,Anatomy,B,B
Nerve passing through medial epicondyle:,Ulnar,Radiala,Median,Posterior interosseus,A,Anatomy,A,A
Pouch of Douglas is situated between,Bladder and the uterus,Bladder and public symphysis,Bladder and the rectum,Uterus and rectum,D,Anatomy,B,D
The main antagonistic muscle of rectus abdominis muscle is,Psoas major,Latissimus dorsi,Quadratus lumborum,Erector spinae,D,Anatomy,A,D
Tubercles of Montgomery are present in,Lung,Duodenum,Liver,Breast,D,Anatomy,B,B
Rosenthal fibres arr seen in which of the following tumors,Pilocytic astrocytoma,Glioblastoma,Medulloblastoma,Ependymoma,A,Anatomy,A,A
Preganglionic parasympathetic fibres to parotid gland relay at,Geniculate ganglion,Otic ganglion,Sub mandibular ganglion,Stellate ganglion,B,Anatomy,B,B
The most common complication in spinal anaesthesia is,Post spinal headache,Hypotension,Meningitis,Arrhythmia,B,Anatomy,B,B
Which is known as labourer's nerve?,Ulnar nerve,Axillary nerve,Radial nerve,Median nerve,D,Anatomy,A,A
Abduction of shoulder is initiated by,Supraspinatus,Trapezius,Serratus anterior,Levator scapulae,A,Anatomy,A,A
The neck of pancreas is related on its posterior surface to,Gastroduodenal aery,Superior mesenteric vein,Inferior vena cava,Bile duct,B,Anatomy,B,B
Which is not a type of epiphysis?,Traction,Atavistic,Friction,Pressure,C,Anatomy,A,C
Beer's procedure,DPPHR,LRLPJ,Caudal pancreaticojejunostomy,Longitudinal section pancreaticojejunostomy,A,Anatomy,C,A
Great cerebral vein of Galen formed by the union of,Superfcial middle cerebral vein,Internal cerebral vein,Anterior cerebral vein,Middle cerebral vein,B,Anatomy,B,B
A 55-year-old man is admitted to the hospital with a complaint of severe headaches. A lumbar puncture reveals traces of blood in the cerebrospinal fluid. Which of the following conditions has most likely occurred in this patient?,Fracture of the pterion with vascular injury,"A ruptured ""berry"" aneurysm",Leakage of branches of the middle meningeal vein within the temporal bone,A tear of the cerebral vein at the entrance to the superior sagittal sinus,B,Anatomy,A,A
A 44-year-old man with a stab wound was brought to the emergency depament and a physician found that the patient was suffering from a laceration of his right phrenic nerve. Which of the following conditions has likely occurred?,Injury to only general somatic efferent fibers,Difficulty in expiration,Loss of sensation in the pericardium and mediastinal pleura,Normal function of the diaphragm,C,Anatomy,B,B
Which of the following belong to special visceral efferent column,Nucleus tractus solitarius,Nucleus ambigus,Dorsal nucleus of vagus,Mesencephalic nucleus of trigeminal,B,Anatomy,B,B
Dropped shoulder occurs due to paralysis of,Deltoid,Trapezius,Teres minor,Serratus anterior,B,Anatomy,A,B
Most impoant prognostic factor of Wilms tumor,Histopathology and ploidy of cells,Tumor stage,Age of patient,Mutation of chromosome 1p,B,Anatomy,B,A
Therapeutic drug monitoring is required for,Prodrugs,Levodopa,Lithum carbonate,MAO inhibitor,C,Anatomy,C,C
Which is a direct branch of arch of aorta-,Right subclavian artery,Right common carotid artery,Brachiocephalic trunk,Right coronary artery,C,Anatomy,B,B
Spleen projects into the following space of peritoneal cavity,Paracolic gutter,Infracolic compament,Left subhepatic space,Greater Sac,D,Anatomy,C,D
Veebral rotation in scoliosis is checked in-,Forward bending,Backward bending,Sideways,Without bending,A,Anatomy,A,A
After how many hours of LH surge does ovulation occurs?,24-Dec,24-48,24-36,36-48,C,Anatomy,B,C
Epithelial lining of the vagina is,Stratified squamous non-keratinised,Stratified squamous keratinised,Columnar,Cuboidal,A,Anatomy,A,A
Subarachnoid block as anaesthesia is contraindicated in,Haemophilia,Burgers disease,Atherosclerotic gangrene,Full stomach,A,Anatomy,A,A
The spinal tract involved with the control of trunk muscles is:,Anterior coicospinal,Anterior spinocerebellar,Cuneocerebellar,Lateral coicospinal.,A,Anatomy,A,A
Nasolacrimal duct will not be formed with oblique facial cleft due to n on fusion of which of the following ridges?,A to B,B to C,A to C,C to D,B,Anatomy,A,B
What lies between cystic duct and common hepatic duct?,Lymph node,Poal pein,Hepatic aery,Cystic aery,A,Anatomy,C,
Characterisic microscopic features of Osteogenic sarcoma is,Osteoid formation,Osteoid formation by Mesenchymal cells with pleomorphism,Codmans triangle,Predominant osteoclast,B,Anatomy,A,B
Which of the following events is involved in cleavage of the zygote during week 1 of development?,A series of meiotic divisions forming blastomeres,Production of highly differentiated blastomeres,An increased cytoplasmic content of blastomeres,A decrease in size of blastomeres,D,Anatomy,A,A
what is the immediate common posterior relation for the body of uterus and supravaginal poion of cervix is ?,rectum,coils of ileum and sigmoid colon,c) pineal body,sacrum,B,Anatomy,A,A
NARP syndrome is seen in,A. Mitochondrial diseases,B. Glycogen storage diseases,C. Lysosomal storage diseases,D. Lipid storage diseases,A,Anatomy,A,A
What is the function of chordae tendineae?,Opens A-V valve,Prevents regurgitation,Helps contraction of papillary muscles,Passes action potential to papillary muscles,B,Anatomy,B,B
Oxigen are used as specific antidotes in,Alcohol poisoning,Mercury poisoning,OP poisoning,Cyanide poisoning,C,Anatomy,C,C
Light microscopic characteristic features of apoptosis is,Intact cell membrane,Eosinophilic cytoplasm,Nuclear moulding,Condensation of the nucleus,D,Anatomy,C,A
Which nerve can be damaged during venesection of Great Saphenous vein:,Sural Nerve,Femoral Nerve,Obturator Nerve,Saphenous Nerve,D,Anatomy,A,D
Which vein is found at the apex of the heart?,Great cardiac vein,Coronary Sinus,Anterior cardiac vein,Middle cardiac vein,A,Anatomy,B,A
Cardiac polyp is seen in,Acute nephritis,Endocarditis,Septicaemia,Postmoem clot,D,Anatomy,B,B
Which nerve is affected in Saturday Night Palsy?,Radial nerve,Ulnar nerve,Anterior Interosseus nerve,Median nerve,A,Anatomy,A,A
Koch's triangle has blood supply from,Right coronary,Left circumflex,Left anterior descending,Anterior aoic sinus,A,Anatomy,A,A
Prolapsed interveebral Disc is most common at-,C10C11,C2C3,L2L4,L5S1,D,Anatomy,D,D
Maximum contribution to the floor of orbit is by:,Maxillary,Zygomatic,Sphenoid,Palatine,A,Anatomy,C,B
Satellite Body and Acrocentric Chromosomes are present in which group,A,B,C,D,D,Anatomy,B,
Most appropriate marker of GIST,CD 117,CD 34,CD 23,S-100,A,Anatomy,A,A
What sequence on the template strand of DNA corresponds to the first amino acid inseed into a protein?,3' TAC 5',3' UAA 5',3' UAG 5',3' AUG 5',A,Biochemistry,A,A
Reverse folding of proteins is carried out by which enzyme -,Valine,Threonine,Chaperone,Aspartate,C,Biochemistry,C,C
The dietary fats are transmitted from GIT to adipocytes in the form of -,Diacyl glycerol,Triacylglvcerol,Fatmisseles,Chylomicrons,D,Biochemistry,B,C
Enzyme does not act by,Forming non-covalent interactions,Catalyzing the reaction,Increasing activation energy,Increasing the rate of reaction,C,Biochemistry,B,C
Best radiolabelled marker for DNA replication is,Ribose,Thymidine,Phosphate,Uracil,B,Biochemistry,B,B
One of the following is obtained in the by beta oxidation of odd chain fatty acids:,Acetyl-CoA + Acetyl-CoA,Acetyl-CoA + Propionyl-CoA,Propionyl CoA + Propionyl-CoA,Acetyl-CoA alone,B,Biochemistry,A,A
Which collagen produces sheets?,I,II,IV,VI,C,Biochemistry,C,C
Which vitamin is required for carboxylation of clotting factors? rpt Q33,Vitamin A,Vitamin D,Vitamin E,Vitamin K,D,Biochemistry,D,D
Degradation of a substance takes place in which part of the cell:,Mitochondria,Nucleus,Lysosome,ER,C,Biochemistry,C,C
Tomcat urine odor is seen in:,Multiple carboxylase deficiency,Phenylketonuria,Hawkinuria,Maple syrup disease,A,Biochemistry,C,A
Synol fluid contains-,Hyaluronic acid,Chondroitin sulphate,Keratan sulphate,Dermatan sulphate,A,Biochemistry,A,A
Dinitrophenol causes:,Inhibition of ATP synthase,Inhibition of electron transport,Uncoupling of oxidation and phosphorylation,Accumulation of ATP,C,Biochemistry,A,C
Substrate level phosphorylation is catalysed by which enzyme?,Succinate dehydrogenase,Alpha keto glutarate dehydrogenase,Succinate thiokinase,Malate dehydrogenase,C,Biochemistry,C,C
Reaction occuring in conversion of norepinephrine to epinephrine-,Hydroxylation,Oxidation,Glucuronidation,Methylation,D,Biochemistry,A,D
Melatonin is synthesized from,Histidine,Methionine,Tryptophan,Phenylalanine,C,Biochemistry,C,C
Enzyme specific for gluconeogenesis -,Glucose-6-phosphatase,Aldolase,Phosphoglycerate kinase,Phosphoglycerate mutase,A,Biochemistry,A,A
Which is a reverse transcriptase?,Topoisomerase 2,Telomerase,RNA polymerase 2,DNA polymerase alpha,B,Biochemistry,B,B
